Gene,DGE,DTE,DTU,High-activity,low-activity
g9305,1,1,0,X,
g6591,1,1,0,X,
g13731,1,1,0,X,
g6982,1,0,0,X,
g13589,1,0,0,X,
g6663,1,0,0,X,
g9141,1,0,0,X,
g7216,1,1,0,X,
g5151,1,0,0,X,
g9792,1,0,0,X,
g1894,1,0,0,X,
g7219,1,0,0,X,
g123,1,0,0,X,
g13743,1,0,0,X,
g2855,1,0,0,X,
g20498,1,0,0,X,
g5994,1,0,0,X,
g12874,1,0,0,,X
g5511,1,0,1,X,
g8173,1,0,0,X,
g5389,1,0,0,X,
g22293,1,0,0,X,
g7229,1,0,1,,X
g3684,1,0,0,X,
g2275,1,0,0,X,
g8308,1,0,0,,X
g3245,1,0,0,X,
g24155,1,0,0,,X
g16177,1,0,0,,X
g6884,1,0,0,,X
g12782,1,0,0,,X
g8064,1,0,0,X,
g17038,1,0,0,,X
g6082,1,0,0,X,
g3814,1,0,0,X,
g6602,1,0,0,,X
g11332,1,0,0,,X
g6124,1,0,0,,X
g20928,1,0,0,X,
g16223,1,0,0,,X
g15,0,0,1,X,
g3338,0,0,1,X,
g4350,0,0,1,X,
g4830,0,0,1,X,
g4886,0,0,1,X,
g5024,0,0,1,X,
g5260,0,0,1,X,
g5456,0,0,1,X,
g5823,0,0,1,X,
g8013,0,0,1,X,
g8428,0,0,1,X,
