Gene,DGE,DTE,DTU
g5823,1,1,1
g8064,1,1,0
g5273,1,1,0
g11825,1,1,0
g11369,1,1,0
g4305,1,1,0
g2622,1,1,0
g1707,1,1,0
g4967,1,1,0
g123,1,1,0
g8459,1,1,0
g8173,1,1,0
g4166,1,1,0
g12056,1,1,0
g20498,1,1,0
g2926,1,1,0
g4715,1,1,0
g3224,1,1,0
g15993,1,1,1
g482,1,1,0
g23784,1,1,0
g829,1,1,0
g562,1,1,0
g4614,1,1,0
g13235,1,1,0
g1077,1,1,0
g1871,1,1,0
g1156,1,1,0
g13057,1,1,0
g3043,1,1,1
g13788,1,1,0
g8242,1,0,0
g3892,1,1,0
g3958,1,1,0
g4981,1,1,0
g9792,1,1,0
g3740,1,1,0
g5675,1,1,0
g5301,1,1,0
g1423,1,1,0
g5480,1,1,0
g869,1,1,1
g5108,1,1,0
g6897,1,1,0
g2759,1,1,0
g26067,1,0,0
g15701,1,1,0
g7529,1,1,0
g8125,1,1,0
g9996,1,1,0
g6169,1,1,1
g1172,1,0,0
g13743,1,1,0
g7216,1,1,0
g32,1,1,0
g8422,1,1,0
g13531,1,1,0
g10913,1,1,0
g643,1,1,0
g4815,1,1,0
g25125,1,0,0
g868,1,1,0
g329,1,1,0
g11760,1,1,0
g6663,1,1,0
g9809,1,1,0
g11032,1,1,0
g31646,1,1,0
g295,1,1,0
g16911,1,0,0
g5483,1,1,0
g9196,1,1,0
g8464,1,1,1
g5495,1,1,0
g6498,1,1,0
g13941,1,1,0
g1818,1,1,0
g4484,1,0,0
g9011,1,1,0
g9305,1,1,0
g14156,1,1,0
g10119,1,1,0
g8960,1,1,0
g4234,1,1,0
g35662,1,1,0
g68084,1,0,0
g3884,1,1,0
g7404,1,1,0
g6509,1,1,0
g2226,1,1,0
g658,1,1,0
g4947,1,1,0
g8777,1,1,0
g24224,1,1,0
g352,1,1,0
g10896,1,0,0
g5511,1,1,0
g10980,1,1,0
g789,1,0,0
g2745,1,1,0
g508,1,1,1
g15134,1,1,0
g13103,1,1,0
g3978,1,1,0
g15365,1,0,0
g768,1,1,0
g6329,1,1,0
g11915,1,1,0
g22293,1,1,0
g6983,1,1,0
g1,1,1,0
g37213,1,1,0
g7366,1,0,0
g5151,1,1,0
g1078,1,0,0
g13731,1,1,0
g7372,1,0,0
g9272,1,1,0
g7727,1,1,0
g2748,1,1,0
g6443,1,1,0
g164,1,1,0
g5389,1,1,0
g11844,1,0,0
g41038,1,1,0
g19862,1,0,0
g5161,1,0,0
g2940,1,0,0
g6037,1,1,0
g10981,1,1,0
g48923,1,1,0
g1091,1,1,0
g9742,1,1,1
g1382,1,1,0
g12257,1,0,0
g3428,1,1,0
g5767,1,1,0
g23003,1,1,0
g41100,1,1,0
g6531,1,1,0
g19974,1,0,0
g11859,1,0,0
g17024,1,1,0
g18334,1,0,0
g9642,1,0,0
g1379,1,1,0
g22644,1,1,0
g30386,1,0,0
g6792,1,1,0
g7085,1,1,0
g7620,1,1,0
g14145,1,0,0
g9745,1,1,0
g18790,1,1,0
g12963,1,1,0
g7018,1,0,0
g12996,1,0,0
g9578,1,1,0
g4857,1,0,0
g10481,1,0,0
g10859,1,1,0
g8621,1,1,0
g3245,1,1,0
g8723,1,0,0
g8183,1,0,0
g26345,1,1,0
g17686,1,0,0
g32616,1,1,0
g683,1,1,0
g1495,1,0,0
g14890,1,1,0
g1494,1,1,0
g3208,1,1,0
g33911,1,1,0
g30014,1,1,0
g8508,1,1,0
g1516,1,1,0
g25777,1,0,0
g6227,1,1,0
g14166,1,1,0
g16627,1,1,0
g2861,1,1,0
g8154,1,0,0
g3980,1,1,0
g9315,1,1,0
g18140,1,1,0
g6910,1,0,0
g3685,1,0,0
g3989,1,1,0
g23282,1,1,0
g6591,1,1,0
g10866,1,0,0
g4674,1,0,0
g4107,1,1,0
g3013,1,1,0
g16866,1,0,0
g7743,1,0,0
g3603,1,0,0
g4859,1,1,0
g5065,1,0,0
g7641,1,0,0
g523,1,1,0
g8656,1,1,0
g13589,1,1,0
g10510,1,0,0
g25613,1,1,0
g31919,1,1,0
g11905,1,0,0
g7219,1,1,0
g12288,1,1,0
g11508,1,0,0
g1838,1,0,0
g9189,1,0,0
g4247,1,0,0
g9363,1,0,0
g859,1,0,0
g9192,1,0,0
g29392,1,1,0
g6255,1,0,0
g11083,1,0,0
g1649,1,0,0
g8463,1,1,0
g6579,1,0,0
g2333,1,0,0
g8418,1,0,0
g4480,1,1,0
g8779,1,1,0
g16054,1,0,0
g4911,1,0,0
g23023,1,1,0
g13430,1,0,0
g9425,1,0,0
g2286,1,0,0
g8104,1,1,0
g24100,1,0,0
g13144,1,0,0
g4176,1,0,0
g21313,1,0,0
g26785,1,1,0
g18558,1,0,0
g5839,1,0,0
g64178,1,1,0
g10527,1,1,0
g20954,1,0,0
g5814,1,0,0
g14020,1,0,0
g61973,1,1,0
g6914,1,1,0
g17805,1,0,0
g1142,1,0,0
g7635,1,1,0
g1816,1,0,0
g415,1,1,0
g16980,1,0,0
g9641,1,0,0
g14210,1,0,0
g12493,1,0,0
g39579,1,0,0
g15320,1,0,0
g9605,1,0,0
g11987,1,0,0
g3537,1,0,0
g14616,1,1,0
g24156,1,1,0
g5191,1,0,0
g958,1,0,0
g4222,1,1,0
g4729,1,0,0
g6357,1,0,0
g13004,1,0,0
g8120,1,0,1
g30814,1,0,0
g51172,1,0,0
g17637,1,0,0
g15285,1,0,0
g2598,1,0,0
g12825,1,0,0
g11970,1,0,0
g24232,1,0,0
g2732,1,0,0
g16058,1,0,0
g1286,1,0,0
g5791,1,0,0
g1776,1,0,0
g9345,1,0,0
g12341,1,0,0
g29802,1,0,0
g5611,1,0,0
g18224,1,0,0
g13481,1,0,0
g21821,1,0,0
g1567,1,0,0
g19520,1,0,0
g15368,1,0,0
g36370,1,0,0
g4885,1,0,0
g13424,1,0,0
g47554,1,0,0
g2976,1,0,0
g57773,1,0,0
g5617,1,0,0
g10288,1,0,0
g13797,1,0,0
g147,1,0,0
g10431,1,0,0
g7546,1,1,0
g8108,1,0,0
g1283,1,0,0
g1883,1,0,0
g6989,1,1,0
g14611,1,0,0
g10024,1,0,0
g20826,1,0,0
g13809,1,0,0
g12478,1,0,0
g22952,1,0,0
g11046,1,0,0
g32237,1,0,0
g7432,1,0,0
g13241,1,0,0
g6868,1,1,0
g4655,1,0,0
g8320,1,0,0
g14586,1,0,0
g3744,1,0,0
g9279,1,0,0
g16189,1,0,0
g14127,1,0,0
g9307,1,0,0
g36501,1,0,0
g33912,1,0,0
g7515,1,0,0
g2873,1,1,0
g21900,1,0,0
g4692,1,0,0
g7255,1,0,0
g9805,1,0,0
g38702,1,0,0
g13236,1,0,0
g27320,1,0,0
g10032,1,0,0
g8265,1,1,0
g4208,1,0,0
g4961,1,0,0
g2348,1,1,1
g5537,1,1,0
g10793,1,0,0
g6490,1,0,0
g1688,1,0,0
g5091,1,0,0
g4686,1,0,0
g7353,1,0,0
g9199,1,0,0
g20126,1,0,0
g24076,1,0,0
g7038,1,0,0
g19175,1,0,0
g19498,1,0,0
g12,0,0,1
g20,0,0,1
g60,0,1,1
g80,0,1,1
g173,0,0,1
g176,0,0,1
g179,0,1,1
g190,0,0,1
g226,0,0,1
g368,0,0,1
g394,0,0,1
g527,0,0,1
g575,0,1,1
g669,0,0,1
g718,0,1,1
g766,0,0,1
g822,0,1,1
g825,0,0,1
g960,0,1,1
g1110,0,1,1
g1150,0,1,1
g1253,0,1,1
g1256,0,0,1
g1268,0,0,1
g1364,0,0,1
g1388,0,1,1
g1435,0,1,1
g1455,0,1,1
g1669,0,0,1
g1672,0,1,1
g1692,0,0,1
g1882,0,1,1
g1900,0,0,1
g2039,0,0,1
g2274,0,0,1
g2278,0,0,1
g2437,0,0,1
g2477,0,1,1
g2551,0,1,1
g2793,0,0,1
g3049,0,0,1
g3068,0,0,1
g3420,0,0,1
g3570,0,0,1
g3574,0,0,1
g3742,0,1,1
g3982,0,0,1
g4043,0,1,1
g4133,0,1,1
g4854,0,0,1
g4971,0,0,1
g5051,0,0,1
g6405,0,0,1
g6497,0,0,1
g6929,0,1,1
g7412,0,0,1
g8364,0,0,1
g8495,0,0,1
g8613,0,0,1
g8720,0,0,1
g9579,0,0,1
g13462,0,0,1
g20031,0,0,1
g1082,0,1,0
g637,0,1,0
g479,0,1,0
g1807,0,1,0
g1868,0,1,0
g2034,0,1,0
g52,0,1,0
g237,0,1,0
g353,0,1,0
g514,0,1,0
g652,0,1,0
"g682""",0,1,0
g813,0,1,0
g827,0,1,0
g1058,0,1,0
g724,0,1,0
g752,0,1,0
g1154,0,1,0
g1153,0,1,0
g1371,0,1,0
g37,0,1,0
g1212,0,1,0
g1541,0,1,0
g906,0,1,0
g366,0,1,0
g1047,0,1,0
g595,0,1,0
g1754,0,1,0
g1881,0,1,0
g2051,0,1,0
g1337,0,1,0
g2176,0,1,0
g1630,0,1,0
g1076,0,1,0
g1533,0,1,0
g1313,0,1,0
g2694,0,1,0
g2764,0,1,0
g2023,0,1,0
g2968,0,1,0
g3050,0,1,0
g2757,0,1,0
g2369,0,1,0
g2416,0,1,0
g1523,0,1,0
g2617,0,1,0
g2742,0,1,0
g4073,0,1,0
g1941,0,1,0
g4108,0,1,0
g4134,0,1,0
g3281,0,1,0
g1401,0,1,0
g4459,0,1,0
g355,0,1,0
g2186,0,1,0
g3929,0,1,0
g4669,0,1,0
g4741,0,1,0
g77,0,1,0
g3063,0,1,0
g4827,0,1,0
g4097,0,1,0
g2345,0,1,0
g5137,0,1,0
g2168,0,1,0
g106,0,1,0
g5187,0,1,0
g3801,0,1,0
g282,0,1,0
g5488,0,1,0
g5532,0,1,0
g2340,0,1,0
g751,0,1,0
g3878,0,1,0
g5898,0,1,0
g3210,0,1,0
g6182,0,1,0
g6251,0,1,0
g238,0,1,0
g4129,0,1,0
g6589,0,1,0
g6689,0,1,0
g6548,0,1,0
g1493,0,1,0
g6951,0,1,0
g1006,0,1,0
g1573,0,1,0
g6660,0,1,0
g5367,0,1,0
g6389,0,1,0
g7748,0,1,0
g7964,0,1,0
g3623,0,1,0
g7171,0,1,0
g4567,0,1,0
g4626,0,1,0
g7368,0,1,0
g8034,0,1,0
g8398,0,1,0
g2231,0,1,0
g2200,0,1,0
g8966,0,1,0
g7351,0,1,0
g9145,0,1,0
g9224,0,1,0
g7535,0,1,0
g8220,0,1,0
g9876,0,1,0
g8920,0,1,0
g10089,0,1,0
g7167,0,1,0
g10350,0,1,0
g10094,0,1,0
g10526,0,1,0
g10499,0,1,0
g11307,0,1,0
g815,0,1,0
g3798,0,1,0
g12422,0,1,0
g2001,0,1,0
g14813,0,1,0
g15809,0,1,0
g8007,0,1,0
g18236,0,1,0
g14253,0,1,0
g19019,0,1,0
g20615,0,1,0
g21903,0,1,0
g29444,0,1,0
g31059,0,1,0
g42545,0,1,0
