GENE,HvsL,BvsH,BvsL,A,Comparison
g3245,1,0,1,DGE,HvsL + BvsL
g7229,1,0,1,DGE + DTU,HvsL + BvsL
g15,1,0,1,DTU,HvsL + BvsL
g3338,1,0,1,DTU,HvsL + BvsL
g10981,0,1,1,DGE,BvsH + BvsL
g1423,0,1,1,DGE,BvsH + BvsL
g15134,0,1,1,DGE,BvsH + BvsL
g24224,0,1,1,DGE,BvsH + BvsL
g157,0,1,1,DGE,BvsH + BvsL
g20,0,1,1,DTU,BvsH + BvsL
g41100,0,1,1,DGE,BvsH + BvsL
g48923,0,1,1,DGE,BvsH + BvsL
g6874,0,1,1,DGE,BvsH + BvsL
g6897,0,1,1,DGE,BvsH + BvsL
g8463,0,1,1,DGE,BvsH + BvsL
g9011,0,1,1,DGE,BvsH + BvsL
g9196,0,1,1,DGE,BvsH + BvsL
g12,0,1,1,DTU,BvsH + BvsL
g1871,0,1,1,DGE,BvsH + BvsL
g10980,0,1,1,DGE,BvsH + BvsL
g16054,0,1,1,DGE,BvsH + BvsL
g1,0,1,1,DGE,BvsH + BvsL
g10119,0,1,1,DGE,BvsH + BvsL
g1077,0,1,1,DGE,BvsH + BvsL
g11369,0,1,1,DGE,BvsH + BvsL
g1156,0,1,1,DGE,BvsH + BvsL
g11760,0,1,1,DGE,BvsH + BvsL
g11825,0,1,1,DGE,BvsH + BvsL
g12056,0,1,1,DGE,BvsH + BvsL
g13057,0,1,1,DGE,BvsH + BvsL
g13235,0,1,1,DGE,BvsH + BvsL
g13788,0,1,1,DGE,BvsH + BvsL
g1382,0,1,1,DGE,BvsH + BvsL
g1495,0,1,1,DGE,BvsH + BvsL
g15701,0,1,1,DGE,BvsH + BvsL
g15993,0,1,1,DGE,BvsH + BvsL
g16911,0,1,1,DGE,BvsH + BvsL
g1707,0,1,1,DGE,BvsH + BvsL
g1110,0,1,1,DTU,BvsH + BvsL
g1150,0,1,1,DTU,BvsH + BvsL
g23784,0,1,1,DGE,BvsH + BvsL
g1253,0,1,1,DTU,BvsH + BvsL
g1435,0,1,1,DTU,BvsH + BvsL
g26067,0,1,1,DGE,BvsH + BvsL
g2622,0,1,1,DGE,BvsH + BvsL
g2759,0,1,1,DGE,BvsH + BvsL
g1672,0,1,1,DTU,BvsH + BvsL
g2926,0,1,1,DGE,BvsH + BvsL
g3043,0,1,1,DGE + DTU,BvsH + BvsL
g19019,0,1,1,DGE,BvsH + BvsL
g32,0,1,1,DGE,BvsH + BvsL
g3224,0,1,1,DGE,BvsH + BvsL
g329,0,1,1,DGE,BvsH + BvsL
g2039,0,1,1,DTU,BvsH + BvsL
g2176,0,1,1,DTU,BvsH + BvsL
g3740,0,1,1,DGE,BvsH + BvsL
g2348,0,1,1,DTU,BvsH + BvsL
g3892,0,1,1,DGE,BvsH + BvsL
g3958,0,1,1,DGE,BvsH + BvsL
g3989,0,1,1,DGE,BvsH + BvsL
g4166,0,1,1,DGE,BvsH + BvsL
g4305,0,1,1,DGE,BvsH + BvsL
g4614,0,1,1,DGE,BvsH + BvsL
g4715,0,1,1,DGE,BvsH + BvsL
g482,0,1,1,DGE,BvsH + BvsL
g4947,0,1,1,DGE,BvsH + BvsL
g4967,0,1,1,DGE,BvsH + BvsL
g4981,0,1,1,DGE,BvsH + BvsL
g3623,0,1,1,DTU,BvsH + BvsL
g5108,0,1,1,DGE,BvsH + BvsL
g5273,0,1,1,DGE,BvsH + BvsL
g5301,0,1,1,DGE,BvsH + BvsL
g5480,0,1,1,DGE,BvsH + BvsL
g5483,0,1,1,DGE,BvsH + BvsL
g562,0,1,1,DGE,BvsH + BvsL
g5675,0,1,1,DGE,BvsH + BvsL
g6509,0,1,1,DGE,BvsH + BvsL
g658,0,1,1,DGE,BvsH + BvsL
g683,0,1,1,DGE,BvsH + BvsL
g7529,0,1,1,DGE,BvsH + BvsL
g13103,0,1,1,DGE,BvsH + BvsL
g829,0,1,1,DGE,BvsH + BvsL
g8459,0,1,1,DGE,BvsH + BvsL
g8464,0,1,1,DGE + DTU,BvsH + BvsL
g868,0,1,1,DGE,BvsH + BvsL
g869,0,1,1,DGE + DTU,BvsH + BvsL
g8467,0,1,1,DGE,BvsH + BvsL
g960,0,1,1,DTU,BvsH + BvsL
g9809,0,1,1,DGE,BvsH + BvsL
g9996,0,1,1,DGE,BvsH + BvsL
g295,0,1,1,DGE,BvsH + BvsL
g1818,0,1,1,DGE,BvsH + BvsL
g643,0,1,1,DGE,BvsH + BvsL
g5767,0,1,1,DGE,BvsH + BvsL
g6169,0,1,1,DGE,BvsH + BvsL
g2658,0,1,1,DTU,BvsH + BvsL
g13430,0,1,1,DGE,BvsH + BvsL
g17024,0,1,1,DGE,BvsH + BvsL
g60,0,1,1,DTU,BvsH + BvsL
g10913,0,1,1,DGE,BvsH + BvsL
g1172,0,1,1,DGE,BvsH + BvsL
g2745,0,1,1,DGE,BvsH + BvsL
g2940,0,1,1,DGE + DTU,BvsH + BvsL
g508,0,1,1,DGE + DTU,BvsH + BvsL
g8242,0,1,1,DGE,BvsH + BvsL
g8960,0,1,1,DGE,BvsH + BvsL
g13589,1,1,1,DGE,HvsL + BvsH + BvsL
g13731,1,1,1,DGE,HvsL + BvsH + BvsL
g13743,1,1,1,DGE,HvsL + BvsH + BvsL
g20498,1,1,1,DGE,HvsL + BvsH + BvsL
g22293,1,1,1,DGE,HvsL + BvsH + BvsL
g5151,1,1,1,DGE,HvsL + BvsH + BvsL
g5823,1,1,1,DGE + DTU,HvsL + BvsH + BvsL
g6591,1,1,1,DGE,HvsL + BvsH + BvsL
g6663,1,1,1,DGE + DTU,HvsL + BvsH + BvsL
g5024,1,1,1,DTU,HvsL + BvsH + BvsL
g7216,1,1,1,DGE,HvsL + BvsH + BvsL
g8064,1,1,1,DGE,HvsL + BvsH + BvsL
g8173,1,1,1,DGE,HvsL + BvsH + BvsL
g9305,1,1,1,DGE,HvsL + BvsH + BvsL
g9792,1,1,1,DGE,HvsL + BvsH + BvsL
g5389,1,1,1,DGE,HvsL + BvsH + BvsL
g7219,1,1,1,DGE,HvsL + BvsH + BvsL
g5511,1,1,1,DGE + DTU,HvsL + BvsH + BvsL
g123,1,1,1,DGE,HvsL + BvsH + BvsL
g12874,1,1,0,DGE,HvsL + BvsH
g17038,1,1,0,DGE,HvsL + BvsH
g6602,1,1,0,DGE,HvsL + BvsH
g8308,1,1,0,DGE,HvsL + BvsH
g1894,1,0,0,DGE,HvsL
g2855,1,0,0,DGE,HvsL
g5994,1,0,0,DGE,HvsL
g3684,1,0,0,DGE,HvsL
g2275,1,0,0,DGE,HvsL
g3814,1,0,0,DGE,HvsL
g20928,1,0,0,DGE,HvsL
g6982,1,0,0,DGE,HvsL
g9141,1,0,0,DGE,HvsL
g24155,1,0,0,DGE,HvsL
g16177,1,0,0,DGE,HvsL
g6884,1,0,0,DGE,HvsL
g12782,1,0,0,DGE,HvsL
g6082,1,0,0,DGE,HvsL
g11332,1,0,0,DGE,HvsL
g6124,1,0,0,DGE,HvsL
g16223,1,0,0,DGE,HvsL
g4350,1,0,0,DTU,HvsL
g4830,1,0,0,DTU,HvsL
g4886,1,0,0,DTU,HvsL
g5260,1,0,0,DTU,HvsL
g5456,1,0,0,DTU,HvsL
g8013,1,0,0,DTU,HvsL
g8428,1,0,0,DTU,HvsL
g1280,0,1,0,DGE,BvsH
g164,0,1,0,DGE,BvsH
g26785,0,1,0,DGE,BvsH
g29392,0,1,0,DGE,BvsH
g1900,0,1,0,DTU,BvsH
g413,0,1,0,DGE,BvsH
g3574,0,1,0,DTU,BvsH
g5191,0,1,0,DGE,BvsH
g6531,0,1,0,DGE,BvsH
g6067,0,1,0,DTU,BvsH
g8438,0,1,0,DGE,BvsH
g10275,0,1,0,DGE,BvsH
g1048,0,1,0,DGE,BvsH
g10859,0,1,0,DGE,BvsH
g12996,0,1,0,DGE,BvsH
g1381,0,1,0,DGE,BvsH
g14080,0,1,0,DGE,BvsH
g14253,0,1,0,DGE,BvsH
g15782,0,1,0,DGE,BvsH
g15833,0,1,0,DGE,BvsH
g17163,0,1,0,DGE,BvsH
g17637,0,1,0,DGE,BvsH
g17942,0,1,0,DGE,BvsH
g20799,0,1,0,DGE,BvsH
g20880,0,1,0,DGE,BvsH
g21793,0,1,0,DGE,BvsH
g2226,0,1,0,DGE,BvsH
g2273,0,1,0,DGE,BvsH
g25699,0,1,0,DGE,BvsH
g25995,0,1,0,DGE,BvsH
g26577,0,1,0,DGE,BvsH
g26724,0,1,0,DGE,BvsH
g27103,0,1,0,DGE,BvsH
g2732,0,1,0,DGE,BvsH
g33510,0,1,0,DGE,BvsH
g3978,0,1,0,DGE,BvsH
g4234,0,1,0,DGE,BvsH
g5065,0,1,0,DGE,BvsH
g5073,0,1,0,DGE,BvsH
g52588,0,1,0,DGE,BvsH
g6490,0,1,0,DGE,BvsH
g656,0,1,0,DGE,BvsH
g66062,0,1,0,DGE,BvsH
g6715,0,1,0,DGE,BvsH
g6910,0,1,0,DGE,BvsH
g6983,0,1,0,DGE,BvsH
g7620,0,1,0,DGE,BvsH
g7906,0,1,0,DGE,BvsH
g8183,0,1,0,DGE,BvsH
g8245,0,1,0,DGE,BvsH
g8422,0,1,0,DGE,BvsH
g8120,0,1,0,DTU,BvsH
g9315,0,1,0,DGE,BvsH
g11844,0,1,0,DGE,BvsH
g14127,0,1,0,DGE,BvsH
g14873,0,1,0,DGE,BvsH
g1838,0,1,0,DGE,BvsH
g18584,0,1,0,DGE,BvsH
g23139,0,1,0,DGE,BvsH
g26621,0,1,0,DGE,BvsH
g27808,0,1,0,DGE,BvsH
g31059,0,1,0,DGE,BvsH
g34531,0,1,0,DGE,BvsH
g38173,0,1,0,DGE,BvsH
g6037,0,1,0,DGE,BvsH
g8108,0,1,0,DGE,BvsH
g8148,0,1,0,DGE,BvsH
g245,0,1,0,DTU,BvsH
g1669,0,1,0,DTU,BvsH
g1692,0,1,0,DTU,BvsH
g2640,0,1,0,DTU,BvsH
g3204,0,1,0,DTU,BvsH
g8364,0,1,0,DTU,BvsH
g8495,0,1,0,DTU,BvsH
g8727,0,1,0,DTU,BvsH
g12754,0,1,0,DTU,BvsH
g20031,0,1,0,DTU,BvsH
g35676,0,1,0,DTU,BvsH
g110,0,0,1,DGE,BvsL
g18140,0,0,1,DGE,BvsL
g25125,0,0,1,DGE,BvsL
g35603,0,0,1,DGE,BvsL
g8104,0,0,1,DGE,BvsL
g11859,0,0,1,DGE,BvsL
g17686,0,0,1,DGE,BvsL
g872,0,0,1,DGE,BvsL
g3461,0,0,1,DGE,BvsL
g4815,0,0,1,DGE,BvsL
g822,0,0,1,DGE + DTU,BvsL
g7845,0,0,1,DGE,BvsL
g8508,0,0,1,DGE,BvsL
g1388,0,0,1,DTU,BvsL
g2002,0,0,1,DTU,BvsL
g12493,0,0,1,DGE,BvsL
g11905,0,0,1,DGE,BvsL
g7743,0,0,1,DGE,BvsL
g15582,0,0,1,DGE,BvsL
g1494,0,0,1,DGE,BvsL
g2598,0,0,1,DGE,BvsL
g3023,0,0,1,DGE,BvsL
g6443,0,0,1,DGE,BvsL
g19862,0,0,1,DGE,BvsL
g30386,0,0,1,DGE,BvsL
g35380,0,0,1,DGE,BvsL
