"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold"
"g9305",321.204557137606,3.46523138329079,0.351766330015295,9.85094674393686,6.79013163897284e-23,1.19350143818226e-18,TRUE
"g6591",2783.65357925492,5.3032632073543,0.55792413750944,9.50534821997117,1.99379818885614e-21,1.75224953827622e-17,TRUE
"g13731",574.859489157141,4.93431847067335,0.5905923738876,8.35486316593115,6.55086046840375e-17,3.83814914843776e-13,TRUE
"g6982",56.626189763864,-24.6007986761585,2.98710588411177,-8.23566342492532,1.78565304521682e-16,7.84660589394401e-13,TRUE
"g13589",1047.43794360995,5.29987992353572,0.673416235571392,7.87013980890851,3.54245147914673e-15,1.24531339297924e-11,TRUE
"g6663",89.061959920088,2.35313141371918,0.307327403214552,7.65675754620685,1.90686139575182e-14,5.58615045885495e-11,TRUE
"g9141",14.031263520858,-22.7676696347842,2.98855100936844,-7.61829714915776,2.57044033412773e-14,6.45437567899474e-11,TRUE
"g7216",2675.89650160077,3.13821268486989,0.484964886982866,6.47101010630645,9.7349922513433e-11,2.13889948502327e-07,TRUE
"g5151",7332.59852204697,4.53469810491738,0.706919599365215,6.41472963684888,1.41072995281738e-10,2.75515559785234e-07,TRUE
"g9792",282.087407809862,1.96049743088732,0.316239130502006,6.19941443607934,5.6673617556629e-10,9.96152175792869e-07,TRUE
"g1894",383.029037998828,10.7111363196846,1.74962782442671,6.1219512916664,9.24362838904598e-10,1.47704778358419e-06,TRUE
"g7219",38.35896450951,4.2646600926562,0.717710573369231,5.94203325253537,2.81508295362883e-09,4.12339275632782e-06,TRUE
"g123",79.3739854959518,1.35301456419308,0.236791038790836,5.71396016970152,1.10376843826535e-08,1.49237983379923e-05,TRUE
"g13743",128.321536301198,3.24713593648047,0.578868789931621,5.60945069583737,2.02969809992496e-08,2.54828596445579e-05,TRUE
"g2855",53.7516601953051,7.84599232537357,1.45825539330829,5.38039657619485,7.43219281812092e-08,8.65254052277836e-05,TRUE
"g20498",24.1033172376612,1.74630253511892,0.325199573222231,5.36994104209833,7.87623874179062e-08,8.65254052277836e-05,TRUE
"g5994",178.420528042293,9.58327575103995,1.8228216938419,5.2573851756403,1.46118068733214e-07,0.00015107748788963,TRUE
"g12874",5110.84060245759,-0.919123996429741,0.176908051694114,-5.1954899035289,2.04181418179853e-07,0.000199383154852626,TRUE
"g5511",159.379649768432,2.30490617346099,0.446378877204424,5.16356461106791,2.42290895515563e-07,0.000224144582656687,TRUE
"g8173",28.2804884577206,1.39421735504007,0.270541378541865,5.15343480008299,2.55758023506834e-07,0.000224772938958981,TRUE
"g5389",225.193105030918,1.71349525987906,0.341697658873626,5.01465320402672,5.31292049481211e-07,0.000444691445415773,TRUE
"g22293",11.9764389796044,3.13251798905078,0.644759987598656,4.85842491671595,1.18323262514728e-06,0.000945349084191537,TRUE
"g7229",771.067695634239,-2.48088459212324,0.513623460674043,-4.83016213641703,1.36421917184142e-06,0.00104256001667203,TRUE
"g3684",248.475844506376,8.10492990981326,1.68784087507098,4.80195143364592,1.57126807147169e-06,0.00114405351457931,TRUE
"g2275",236.501422282394,11.799083721653,2.46073439452427,4.79494404105898,1.62720247280438e-06,0.00114405351457931,TRUE
"g8308",41.0046241015814,-1.9665022100129,0.411490705414485,-4.77897115083581,1.76194470620039e-06,0.00114702600373646,TRUE
"g3245",127.370610863829,0.697574378914804,0.14886536055747,4.68594155351207,2.78675788254298e-06,0.00174938726076635,TRUE
"g24155",9.9413425333706,-2.54141455595469,0.555577516043615,-4.57436538118504,4.77665613124257e-06,0.00289514775237416,TRUE
"g16177",19.0897489177073,-1.34357105091447,0.294623458564103,-4.56029895739664,5.10808460767492e-06,0.00295975053922989,TRUE
"g6884",16.3576208444754,-2.94871013297594,0.647250891332884,-4.55574518700726,5.22001858770704e-06,0.00295975053922989,TRUE
"g12782",361.701652920643,-0.791866690518759,0.177338345548623,-4.46528745979332,7.99613176736892e-06,0.00425903054772859,TRUE
"g8064",82.5182001212105,1.16366759190112,0.261576095387681,4.44867712462965,8.64007822739078e-06,0.00433904728579565,TRUE
"g17038",734.580793586342,-2.88611393506928,0.652054889186161,-4.4261824931203,9.59153881203307e-06,0.00459080498129826,TRUE
"g6082",43.3245130236943,1.18907658193891,0.268744388742592,4.42456338345292,9.66375287637456e-06,0.00459080498129826,TRUE
"g3814",112.429066356937,9.75521998624907,2.21392703007523,4.40629697985917,1.05152771347246e-05,0.00486386911044881,TRUE
"g6602",10704.513838388,-0.850110145867425,0.194110491454853,-4.37951673552456,1.18942787364418e-05,0.00522664343376095,TRUE
"g11332",698.213982826317,-0.585803887764224,0.133942211357189,-4.37355693793973,1.22238343921054e-05,0.00524044724658627,TRUE
"g6124",1401.77879313531,-0.680475376272351,0.157062216790261,-4.33252115103563,1.47411496158318e-05,0.00602570201854595,TRUE
"g20928",46.8556314923093,7.33987370779323,1.69721209152818,4.32466498702843,1.52763837505e-05,0.00610256811778495,TRUE
"g16223",82.3313459149209,-9.92408094055518,2.30024594640092,-4.31435645222325,1.60068500780545e-05,0.00625227564048809,TRUE
