"","sample4","sample5","sample6","sample7","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"g5823",382.627519829883,1349.67725097317,261.127208331322,900.88814539075,392.326669619472,1249.7936047505,310.378704840107,2134.2826721898,356.644670330979,1746.70832127884,333.907462613579,1054.10069795588
"g8064",77.8384415340203,872.944661377532,41.7803533330116,420.297961137683,92.6855886156034,334.713132863702,58.8821337156473,1014.17185088922,100.169756605685,949.449766962117,48.9347143485418,392.919276248455
"g5273",30.0100015552849,178.934484030534,10.4450883332529,128.44864924582,34.2809711317985,227.100263095993,17.9640407946043,272.599058009714,32.9417320381112,159.172460931884,11.514050434951,150.585813993697
"g11825",27.196563909477,350.200347316902,24.0237031664816,212.333481406355,46.9776271065387,378.500438493322,23.9520543928057,1105.89949600149,59.4968017423028,470.536134509167,17.2710756524265,399.900075572666
"g11369",16.8806258748478,173.82207020109,7.31156183327702,161.653061976032,22.8539807545324,112.065816102925,17.9640407946043,337.195991187371,34.6224326523005,346.269915009713,12.9533067393199,166.541926734751
"g4305",257.89845086573,977.74914488113,191.145116498528,578.455821773692,293.292753016499,580.367339023093,206.586469137949,1220.88203705772,251.096671759888,985.752258051845,188.542575872323,720.019587440062
"g2622",47.8284399787354,173.82207020109,38.6468268330357,131.070050250837,77.4496014459152,189.992376969197,47.9041087856113,188.623044878759,63.8666233391951,212.229947909179,50.3739706529106,143.605014669486
"g1707",37.5125019441062,247.952070728025,29.2462473331081,115.341644220736,44.4382959115907,301.316035349586,38.9220883883092,506.439956112833,56.1354005139242,266.683684543771,37.4206639135908,170.530954920015
"g4967",21.569688617861,364.259485347872,16.7121413332046,193.983674371238,46.9776271065387,173.664907073406,15.9680362618704,612.378926524191,57.8161011281135,416.082397874575,25.9066134786398,190.476095846332
"g123",93.7812548602654,663.335694370335,53.2699504995897,323.306123952064,129.50589094235,529.900613890651,40.918092921043,825.54880601046,136.472889872175,758.163563912397,41.7384328266974,379.954934646349
"g8459",21.569688617861,145.703794139149,21.9346854998311,90.0014345055745,24.1236463520064,75.7000876986644,42.9140974537768,176.995596906781,29.9164709325704,122.869969842156,27.3458697830086,114.684560326326
"g8173",28.1343764580796,276.070346789966,18.8011589998552,246.411694471573,44.4382959115907,122.456024218428,13.9720317291366,474.141489524004,58.4883813737892,298.797426661608,11.514050434951,199.451409263175
"g4166",286.970639872412,1515.83070043009,192.189625331853,1040.69619899164,449.461621505803,839.380384188131,219.560498600719,2092.94063495609,446.39408312869,1639.19709766695,264.823160003873,993.268018130612
"g12056",33.7612517496955,293.96379519302,17.7566501665299,228.061887436456,58.4046174838049,149.915859952257,22.9540521264388,445.718838925835,74.2869671471691,360.232411582686,35.9814076092219,209.423979726334
"g20498",27.196563909477,215.999484294001,17.7566501665299,127.574848910814,29.2023087419025,104.644238877565,5.98801359820142,304.897524598542,46.0511968287881,279.249931459446,12.9533067393199,170.530954920015
"g2926",27.196563909477,249.230174185386,18.8011589998552,129.322449580825,63.483279873701,164.759014402975,17.9640407946043,276.474874000373,47.3957573201396,201.059950650801,30.2243823917464,123.659873743169
"g4715",154.739070519438,750.24672947088,109.673427499155,548.746610383503,255.202785092278,483.144677370887,98.8022243703234,1165.32867452494,191.936010140423,759.559813569694,135.290092610674,425.828758776879
"g3224",210.070010886995,1256.37569858582,102.361865665878,777.682298154964,384.708676034628,1090.22969440527,91.8162085057551,1762.20433708649,343.199065417464,1590.32835966155,238.916546525233,1270.50547700643
"g15993",8.44031293742389,66.4613797827696,8.35607066660231,32.3306123952064,10.1573247797922,73.4736145310566,11.9760271964028,72.3485651589761,18.8238468789207,71.2087325221588,18.7103319567954,70.8052502884272
"g482",26.2587513608743,177.656380573173,29.2462473331081,94.3704361806024,35.5506367292725,118.745235605748,24.9500566591726,457.346286897813,54.1185597768969,322.53367083566,38.8599202179596,261.281346134759
"g23784",62.8334407563778,320.8039677976,17.7566501665299,145.050855610926,78.7192670433892,213.741424090346,27.9440634582733,466.389857542685,66.2196041990602,428.64864479025,34.542151304853,299.177113894763
"g829",314.167203781889,763.02776404449,291.417964497756,715.642474369568,459.618946285595,807.467602119087,226.546514465287,764.827688823462,369.417994998818,818.202299176178,305.122336526202,576.414572770576
"g562",2675.57920116337,6546.44590860281,1577.20833832119,4791.04723683558,2621.85945878385,3903.00746281643,1729.53792761384,6636.68891467251,2283.39985443765,7958.62304659422,1862.39765785332,4802.78993505726
"g4614",2045.36916850239,10293.8452455851,2349.10036614857,6599.81393029713,3745.51351254836,8220.13893480791,2878.23853620215,4467.52389856678,2623.23751862673,7204.64823165371,3167.8031259159,8466.71232322179
"g13235",8.44031293742389,118.863621534569,11.4895971665782,48.9328187603123,15.2359871696882,39.334359294404,7.98401813093522,131.777743682421,16.4708660190556,106.11497395459,8.63553782621325,47.868338223162
"g1077",56.2687529161592,507.407072572299,48.0474063329633,322.432323617058,149.820540501934,293.894458124226,33.9320770564747,779.039014122546,126.388686187039,633.897344412943,67.6450463053371,356.020765534768
