"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold"
"g5823",872.705244008689,-2.04878913400205,0.195210625176279,-10.4952746918973,9.08131873488794e-26,1.57333847081934e-21,TRUE
"g8064",367.065636469268,-3.23490012513139,0.314606367697997,-10.2823733314791,8.46178179589903e-25,5.54200118934559e-21,TRUE
"g5273",104.499717799637,-2.99101039892639,0.291230811580091,-10.270240235566,9.59653885600967e-25,5.54200118934559e-21,TRUE
"g11825",259.690649939161,-3.85185494474298,0.37854938498887,-10.1753036657456,2.55601489361444e-24,1.10707395079675e-20,TRUE
"g11369",117.511227488397,-3.47936497604024,0.359392686383765,-9.68123478262692,3.62313281500763e-22,1.25541552040014e-18,TRUE
"g4305",537.649018781539,-1.86314897073065,0.198937847822889,-9.36548269281259,7.57034621454674e-21,2.18593746945037e-17,TRUE
"g2622",113.784339659496,-1.66233883418268,0.182627956278094,-9.10232402563486,8.84191895840688e-20,2.1883749422057e-16,TRUE
"g1707",154.3282953233,-2.7083719722451,0.30562895291583,-8.86163416916519,7.88499780747924e-19,1.70759483768222e-15,TRUE
"g4967",177.98297458032,-3.37780713781262,0.386463977540561,-8.74028974009123,2.32513334131082e-18,4.47588168202334e-15,TRUE
"g123",331.324687392031,-2.80109636712197,0.329924721683029,-8.49010753978324,2.06445975324801e-17,3.57667652250218e-14,TRUE
"g8459",74.4799918381421,-2.09647445728572,0.248981498986915,-8.42020176525604,3.75836480310564e-17,5.42613918448377e-14,TRUE
"g8173",149.38972381968,-3.1736443331514,0.386905051484622,-8.20264382947077,2.35157130689067e-16,3.13392099168314e-13,TRUE
"g4166",831.726055233906,-2.12416028925205,0.26090258524125,-8.14158390683593,3.90140022391992e-16,4.65919928860161e-13,TRUE
"g12056",160.871809924954,-2.77439868776155,0.341268426725537,-8.12966706115136,4.30471116329952e-16,4.66119505651026e-13,TRUE
"g20498",111.837085253717,-3.07215086275718,0.389439121755962,-7.88865496847108,3.05460750615333e-15,3.1130044143592e-12,TRUE
"g2926",112.464293321088,-2.47180861565183,0.31410144766728,-7.86945948198926,3.56176742867159e-15,3.42820115009641e-12,TRUE
"g4715",423.208239527423,-2.12569809106428,0.271221894949296,-7.83748705635165,4.5965231293422e-15,4.19130332715019e-12,TRUE
"g3224",759.866519828039,-2.49693122935877,0.319104101148109,-7.82481710631428,5.08395479265758e-15,4.40397583913963e-12,TRUE
"g15993",38.5910057578777,-2.29656793303132,0.296459155082845,-7.74665883531089,9.43419837253718e-15,7.78321365734317e-12,TRUE
"g482",136.743127358753,-2.76148575685201,0.358762756301971,-7.6972475775263,1.39028366586161e-14,1.02620619554699e-11,TRUE
"g23784",180.152253387921,-2.69249269790226,0.349817024727176,-7.69686009422254,1.39450435711722e-14,1.02620619554699e-11,TRUE
"g829",534.322780154909,-1.17619030330895,0.152863138455006,-7.69440111721343,1.42158434015167e-14,1.02620619554699e-11,TRUE
"g562",3949.04874522934,-1.44145810283251,0.187952478581299,-7.66926892219194,1.72979428977356e-14,1.19874744281308e-11,TRUE
"g4614",5171.82873267304,-1.4291037174241,0.189622520947278,-7.53657165976318,4.82487882952317e-14,3.2150394508265e-11,TRUE
"g13235",46.7623478916127,-2.81050059096274,0.377830061376483,-7.43853091181715,1.01811153605679e-13,6.53288235636438e-11,TRUE
"g1077",281.232790640312,-2.57979176783809,0.349743735482141,-7.37623438567587,1.62829254074701e-13,1.00750600958721e-10,TRUE
"g1871",486.218462694667,0.639972813886343,0.0870340664752401,7.35313009956171,1.93618314992837e-13,1.15670251974169e-10,TRUE
"g1156",3294.41947621404,-1.49729661917571,0.204435410109391,-7.32405711111656,2.4058421989102e-13,1.38937386987064e-10,TRUE
"g13057",79.228346002859,-3.16791492461911,0.433809395355492,-7.30255028714422,2.82363721600452e-13,1.57804886346059e-10,TRUE
"g3043",615.162251771954,-2.18324347149692,0.302796346614922,-7.21027018953248,5.58409641854845e-13,3.02326470160474e-10,TRUE
"g13788",258.277661767863,-5.77623973166672,0.804784858202103,-7.17737128475665,7.10645086702897e-13,3.73088670519021e-10,TRUE
"g8242",131.106086050695,-1.2391190160175,0.173696992755297,-7.13379659809745,9.76375845109001e-13,4.90215743957961e-10,TRUE
