"","log2FC","qvalue"
"NODE_3_length_25793_cov_29.395319_g1_i0",1.61621261966534,8.26446280991736e-05
"NODE_4_length_24654_cov_49.807594_g1_i1",1.06096508655313,0.0341496598639456
"NODE_61_length_16401_cov_82.262949_g28_i0",0.641191235660218,8.26446280991736e-05
"NODE_126_length_14646_cov_1696.627010_g52_i0",-0.432932321035103,0.0482820512820513
"NODE_130_length_14561_cov_224.735480_g32_i3",0.808620708774135,8.26446280991736e-05
"NODE_249_length_12969_cov_400.657110_g80_i1",-0.503638283417311,0.0175757575757576
"NODE_288_length_12483_cov_7.816926_g123_i0",2.5581832729965,8.26446280991736e-05
"NODE_395_length_11515_cov_17.642086_g179_i0",2.00925214204113,0.0341496598639456
"NODE_471_length_10998_cov_9602.032820_g164_i3",-0.556980540472844,8.26446280991736e-05
"NODE_524_length_10689_cov_684.252158_g237_i0",0.198288651003719,0.028412017167382
"NODE_659_length_10208_cov_39.189410_g295_i0",0.622798011746715,0.0138235294117647
"NODE_698_length_10093_cov_5848.736586_g0_i130",-0.884859368221711,0.0223699421965318
"NODE_731_length_9968_cov_36.998793_g329_i0",1.05100190247574,8.26446280991736e-05
"NODE_783_length_9763_cov_58.055989_g352_i0",0.697203415418775,0.0165562913907285
"NODE_785_length_9757_cov_125.964638_g353_i0",-0.341400452053157,0.023695652173913
"NODE_1049_length_9064_cov_8.695628_g482_i0",2.53791279219956,8.26446280991736e-05
"NODE_1099_length_8967_cov_126.889349_g508_i0",1.06906825968362,0.0301176470588235
"NODE_1110_length_8953_cov_91.901053_g514_i0",0.41462688520802,0.0358860759493671
"NODE_1208_length_8767_cov_15.286564_g123_i1",2.86024903329327,0.0340287769784173
"NODE_1213_length_8764_cov_190.060904_g523_i1",-0.515878879202098,0.0463707571801567
"NODE_1224_length_8746_cov_314.579328_g562_i0",1.42681538459867,8.26446280991736e-05
"NODE_1255_length_8701_cov_244.928967_g575_i0",0.380120530197312,8.26446280991736e-05
"NODE_1446_length_8420_cov_699.910380_g652_i0",-0.33184319181716,0.0351986754966887
"NODE_1508_length_8315_cov_340.801231_g682_i0",-0.437311559555892,0.043048433048433
"NODE_1509_length_8314_cov_15.302112_g683_i0",0.961051345647848,0.0264220183486239
"NODE_1728_length_8002_cov_696.548100_g768_i0",0.654066979261009,0.0358860759493671
"NODE_1747_length_7975_cov_57.703373_g658_i1",1.51056090554936,8.26446280991736e-05
"NODE_1847_length_7830_cov_146.965645_g813_i0",0.25695291180417,0.0463707571801567
"NODE_1874_length_7804_cov_16.676656_g123_i2",2.41261394056395,8.26446280991736e-05
"NODE_1879_length_7801_cov_56.375965_g829_i0",1.15759430582439,8.26446280991736e-05
"NODE_1942_length_7729_cov_407.049610_g60_i2",-0.585201098756631,0.0138235294117647
"NODE_1991_length_7679_cov_90.284183_g869_i0",2.94090518374512,8.26446280991736e-05
"NODE_2007_length_7663_cov_146.738014_g508_i2",2.04043396657848,0.0248803827751196
"NODE_2226_length_7426_cov_214.596188_g960_i0",0.58308372960679,0.023695652173913
"NODE_2255_length_7403_cov_447.475183_g643_i2",0.785231101459121,0.0238888888888889
"NODE_2458_length_7220_cov_1115.268808_g827_i1",-0.40404807881745,0.0341496598639456
"NODE_2511_length_7175_cov_55.087042_g1058_i0",0.409366766389875,0.0325
"NODE_2556_length_7136_cov_22.112565_g1077_i0",2.41575011125982,8.26446280991736e-05
"NODE_2568_length_7129_cov_667.162958_g1082_i0",0.52491529572923,0.0365256797583082
"NODE_2587_length_7110_cov_1074.989126_g1091_i0",-0.521023239353067,0.0407225433526012
"NODE_2761_length_6952_cov_347.476239_g1150_i0",0.347101489969154,0.0290983606557377
"NODE_2774_length_6944_cov_356.882285_g1156_i0",1.51680167319975,8.26446280991736e-05
"NODE_2818_length_6908_cov_158.111499_g724_i1",0.32200569567371,0.0391394658753709
