gene_id,sample1,sample2,sample3,sample4,sample6,sample8,sample9,sample10,sample11,sample12,sample13,sample15,sample17,sample19
g0,633875.367,743614.682,788927.396,669910.573,619049.008,704051.706,780370.172,606234.971,562987.677,746101.1,532479.316,658426.853,1892016.244,461704.906
g1,1322.228,1638.365,1661.745,1335.909,1377,1463.199,1457.224,1186.987,977.489,1441.999,1091,1181.87,3788.864,857
g10,5694.887,6617.092,7616.836,5205.563,4653.265,5469.598,5889.2,4409.592,5402.315,5656.889,4468.146,4696.602,17429.123,3590.919
g100,1734.017,1858.67,2140.553,1580.721,1168.99,1763.851,2111.892,1348.121,1353.653,1979.054,1388.733,1493.317,3732.864,1061.15
g1000,1910.844,2090.51,2020.675,1810.437,1823.552,2269.062,2176.928,1713.216,1659.82,2220.113,1562.51,1701.801,6641.165,1017.719
g10000,390.493,411.62,596.115,514.196,453.297,509.865,514.454,453.698,399.293,624.609,427.005,397.816,1663.553,312.161
g10001,319.518,384.271,404.031,367.41,336.942,363.38,416.513,366.151,300.909,410.503,239.459,336.883,1012.628,249.338
g10002,9.372,10.997,9.353,8.894,5.104,13.748,10.602,8.929,10.396,12.466,9.336,14.551,24.151,13.553
g10003,3.284,4.084,6.352,5.043,3,4,7.219,4,5.295,2.348,4.214,6.022,13.173,3.096
g10004,6.055,8,15.32,9,11,11.098,17,9,4.038,11.739,6,7.042,20.793,6
g10005,10,11.005,8,11.475,12.008,8.884,3,9.033,3,4,3.9,7,23.018,8
g10006,9,12,3,4,12,7,10,8,12,4,5,11,28,3
g10007,864.013,1603.96,2089.519,1387.04,1879.094,2156.255,2088.645,1819.143,1439.304,1526.023,1251.256,1862.019,4613.262,1205.293
g10008,91.022,98.384,150.595,95.722,98.676,86.824,130.444,97.179,79.854,108.686,84.627,89.743,373.279,76.547
g10009,67,221,71,168.004,44,46,93,84,102,70,85,100,248,33
g1001,1286.698,1658,1571.451,1376.482,1139,1559.014,1770.958,1212.61,1248.002,1673.692,1092.152,1240.027,3973.544,861
g10010,5.932,9.779,11.147,12.275,8.343,9.089,9.734,13.626,8.238,8.988,3.029,12.287,27.59,3.338
g10011,12,9.973,6.794,4,4,5.251,8,6,6,2.007,4,5.003,15.446,7
g10012,221.461,383.096,270.577,62.516,190.676,94.859,394.688,63.52,132.578,58.887,123.248,106.924,376.71,137.416
g10013,0,0,12.464,0,0,8.373,0,0,6.498,0,0,3.876,12.368,0
g10014,88.083,98.164,200.415,190.85,129.344,200.255,155.82,131.576,128.393,190.562,126.136,131.98,556.992,119.139
g10015,172.001,236,300.117,265.621,140.886,256.749,281.002,219.191,211.198,283.556,190.373,229.268,783.248,181.188
g10016,65.895,77.995,103.134,45.864,51.107,52.713,60.178,60.579,45.17,98.711,37.211,37.327,148.26,44.194
g10017,32.516,26.549,25.004,26.247,31.603,29.524,28.031,18.808,41.364,24.97,25.096,36.033,95.269,26.222
g10018,75,91.636,158.445,124,102,118,102.197,93,92.819,113.104,73,110,249.343,82
g10019,57.72,63.468,61.715,56.405,51.529,44.879,74.173,60.799,60.219,53.77,35.039,51.31,155.83,39.832
g1002,770.551,895.975,984.241,786,795.999,927.785,932.331,683.977,763,992.89,624.977,791.966,2710.002,583.024
g10020,38.98,40.623,45.569,20,29.001,33.053,43.12,22,15.103,19.328,10,18,29,44
g10021,1,0,0,0,0,1,0,351.002,0,0,0,1,0,0
g10022,11.021,14.132,5,8.722,4.001,17.073,12.012,6.002,7.011,7.002,5.593,5.383,39.609,14
g10023,6,5,15,11,14,19.842,9,11,9,18.999,6,5,31.563,9
g10024,12,17,18.063,18.002,12,21.383,12.001,15,15.963,15.025,10,26,38.09,6.005
g10025,148.771,196.114,195.041,170.877,116.645,160.063,189.468,119.793,122.57,165.868,113.479,134.666,532.723,112.498
g10026,237.496,256.014,432.44,346.794,564.01,552.224,464.291,419.195,302.902,447.976,243.131,411.363,1287.178,273.203
g10027,21.063,21.599,31.678,25.673,26.719,20.088,36.803,26.064,34.176,30.86,26.007,28.149,89.684,28.961
g10028,10,27,26,33,14,13,16,34,22,17,13,4,33,13
g10029,26,30,0,28,0,27,0,0,0,0,0,25,0,24
g1003,2256.815,2681.072,3288.49,2292.592,2584.192,2801.346,2447.124,2144.374,2047.439,2776.024,1709.625,2172.479,6847.813,1640.283
g10030,6,8,12,14,10,11,1,8,8,9,11,8,38,6
g10031,19,40,0,10,0,17,0,0,0,0,0,12,0,15
g10032,11.002,15,18,29,20,19,21,20,16,36,14,21,59.094,10
