gene_id,sample4,sample5,sample13,sample14,sample17,sample18
g0,669910.573,516738.864,532479.316,858278.529,1892016.244,461698.48
g1,1335.909,2019.001,1091,3369.848,3788.864,2339.547
g10,5205.563,3706.68,4468.146,6694.083,17429.123,3306.424
g100,1580.721,1502.941,1388.733,2831.464,3732.864,1306.865
g1000,1810.437,1329.42,1562.51,2331.414,6641.165,1099.927
g10000,514.196,392.602,427.005,715.832,1663.553,359.412
g10001,367.41,252.972,239.459,492.555,1012.628,281.135
g10002,8.894,6.23,9.336,10.388,24.151,6.235
g10003,5.043,11.742,4.214,15.291,13.173,4
g10004,9,6,6,13,20.793,4.267
g10005,11.475,8,3.9,11,23.018,11
g10006,4,3,5,9,28,6
g10007,1387.04,874.384,1251.256,1579.737,4613.262,601.519
g10008,95.722,86.133,84.627,295.259,373.279,112.496
g10009,168.004,236,85,90,248,70
g1001,1376.482,1114,1092.152,1851.152,3973.544,921
g10010,12.275,5.25,3.029,19.62,27.59,1.341
g10011,4,4,4,6,15.446,4
g10012,62.516,108.996,123.248,80.013,376.71,138.7
g10013,0,0,0,0,12.368,0
g10014,190.85,107.569,126.136,149.401,556.992,140.505
g10015,265.621,147.021,190.373,331.291,783.248,173.387
g10016,45.864,25.309,37.211,55.469,148.26,36.758
g10017,26.247,18.862,25.096,44.658,95.269,20.738
g10018,124,85.197,73,94.236,249.343,71.217
g10019,56.405,31.93,35.039,70.006,155.83,30.88
g1002,786,606.991,624.977,1158.991,2710.002,635
g10020,20,12,10,18,29,6
g10021,0,0,0,1,0,0
g10022,8.722,9.035,5.593,15.446,39.609,9.011
g10023,11,4.304,6,6,31.563,10
g10024,18.002,20.1,10,56.64,38.09,31.306
g10025,170.877,132.844,113.479,205.612,532.723,109.858
g10026,346.794,263.319,243.131,353.472,1287.178,323.35
g10027,25.673,21.075,26.007,54.637,89.684,21.749
g10028,33,23,13,13,33,15
g10029,28,15,0,0,0,0
g1003,2292.592,1762.469,1709.625,3169.923,6847.813,1544.646
g10030,14,10,11,24,38,5
g10031,10,5,0,0,0,0
g10032,29,36.096,14,69,59.094,32
g10033,62.162,34,16.455,20.689,88.173,11.436
g10034,31,9,0,0,0,0
g10035,0,7,3,9,17,3
g10036,12116.819,8742.211,8282.934,15247.292,21017.793,7571.15
g10037,293.521,177.022,222.05,272.333,745.436,96.119
g10038,6,4.35,5,10.996,25.071,3
g10039,8,2,2,5,9.001,5
g1004,991.752,777.934,927.913,1472.128,3431.336,655.439
g10040,107.893,74.488,53.868,102.74,275.292,51.012
g10041,37.431,30.474,38.125,55.323,75.368,27.184
g10042,44.296,63.481,40.078,104.735,165.095,46.307
g10043,16.642,19.635,10.191,24.868,67.269,14.02
g10044,11,11,10,3,22,3
g10045,337.758,219.141,245.072,512,746,207
g10046,255.513,197.303,169.12,291.989,763.152,169
g10047,8,4,3,7,9,5
g10048,8218.94,17040.278,16097.542,43026.231,32561.44,11515.085
g10049,18.148,5.046,24.725,25.252,59.824,14.434
g1005,1421.246,927.475,1119.17,1995.62,4733.367,805.821
g10050,611.441,538.539,514.997,1037,1880.703,510.845
g10051,41.509,24.444,25.718,41.191,59.26,18.348
g10052,33.768,16,18,24.98,101,16
g10053,19.754,7,15,6,40.001,5.951
g10054,21,7,0,0,0,0
g10055,18.361,5.231,11.357,16.589,35.644,7.305
g10056,91.638,74,72,134.89,206.958,69.951
g10057,33.482,19.903,9.823,30.397,82.228,19.291
g10058,0,0,0,0,0,0
g10059,3.222,3,7.324,2.167,13,3
g1006,2776.24,2265.273,1623.025,3076.884,7555.774,1968.574
g10060,6,3,11,15,21,6
g10061,16,5,0,0,0,0
g10062,26.993,13.044,21.889,28.66,60.179,9.922
g10063,588.035,416.016,439,724,1520.82,411
g10064,10.363,4.468,13.447,17.274,33.096,5.001
g10065,9.916,15.728,38.181,79.776,103.175,24.828
g10066,8.002,5,10.973,14.994,24,6
g10067,0,0,0,0,0,0
g10068,72.477,43.068,72.8,100.429,561.997,65.831
g10069,16,9,11,23.923,41,14
g1007,1642.198,1257.952,1007.718,1881.496,4751.01,975.57
g10070,22.196,15.419,23.539,23.022,70.252,9.412
g10071,11,6,13,13,23,3
g10072,6,10,4,12,31,12
g10073,174.234,125.14,111.416,191.892,437.201,113.801
g10074,581.433,472.014,287.518,495.001,1130.621,298.748
g10075,289.682,208.367,202.022,267.204,764.3,228.763
g10076,230.053,135.029,130.488,150.008,534.177,135.003
g10077,14.754,11.441,17.113,35.317,86.78,34.943
g10078,44.089,22.224,44.403,30.495,121.534,24.955
g10079,35.908,13.518,14.818,37.143,35.175,8.796
g1008,735.259,550.073,494.622,1001.878,2258.692,489.249
g10080,14,13,12,26,37,21
g10081,12,6,1,5,19.628,11
g10082,9,6,1,12,34,5
g10083,40.028,13.42,20.347,24.909,47.006,13.006
g10084,3,6,3,10,10,3
g10085,721.379,471.893,485.493,748.849,2367.839,428.29
g10086,10,9,18,24.481,40.939,11.876
g10087,6,6,8,18.998,31.804,8
g10088,63.95,43.195,39.553,79.422,114.399,43.636
g10089,689.514,422.984,444.6,701.82,2369.306,307.41
g1009,1918.163,1734.004,1764.646,3155.999,6340.509,1626
g10090,6.96,3,11.868,12.071,34.343,8.515
g10091,3,1.657,0,1,4.802,0
g10092,2.005,8.101,7.047,11.132,27.081,4.022
g10093,14,17.013,18.236,26.962,53.384,11
g10094,15475.661,16803.133,10164.792,19189.953,39162.025,16012.145
g10095,36.431,67.532,29.004,40.215,120.337,72.565
g10096,3,3.001,5,5,11.953,1
g10097,6,3.223,4,4,13.593,4
