gene_id,sample6,sample7,sample15,sample16,sample19,sample20
g0,619049.008,730347.739,658426.853,469392.082,461704.906,661323.026
g1,1377,1792.722,1181.87,2972.088,857,1882.17
g10,4653.265,6694.704,4696.602,3318.825,3590.919,4640.451
g100,1168.99,2030.067,1493.317,1296.985,1061.15,1647.461
g1000,1823.552,2321.872,1701.801,1072.53,1017.719,1367.155
g10000,453.297,484.28,397.816,409.613,312.161,541.56
g10001,336.942,535.81,336.883,263.719,249.338,325.374
g10002,5.104,10.388,14.551,14.841,13.553,8.339
g10003,3,2,6.022,5.576,3.096,7
g10004,11,6,7.042,5,6,10
g10005,12.008,13,7,8,8,9
g10006,12,5,11,3,3,6
g10007,1879.094,1496.603,1862.019,878.715,1205.293,1401.949
g10008,98.676,163.855,89.743,96.875,76.547,112.75
g10009,44,89,100,123,33,119
g1001,1139,1645.001,1240.027,908,861,1290.682
g10010,8.343,10.59,12.287,9.282,3.338,4.851
g10011,4,12.024,5.003,1,7,6.136
g10012,190.676,107.515,106.924,0,137.416,197.518
g10013,0,0,3.876,4.855,0,10.405
g10014,129.344,198.91,131.98,195.045,119.139,161.545
g10015,140.886,279.276,229.268,157.008,181.188,201.304
g10016,51.107,44.552,37.327,34.871,44.194,77.055
g10017,31.603,23.602,36.033,24.842,26.222,25.848
g10018,102,87.058,110,76.884,82,91
g10019,51.529,63.372,51.31,30.903,39.832,45.548
g1002,795.999,905.461,791.966,674.001,583.024,787.732
g10020,29.001,17,18,15,44,31
g10021,0,0,1,0,0,0
g10022,4.001,11.002,5.383,8.016,14,11.045
g10023,14,7,5,3,9,13
g10024,12,29.241,26,37.774,6.005,22.002
g10025,116.645,175.772,134.666,106.359,112.498,200.142
g10026,564.01,353.302,411.363,272.317,273.203,334.286
g10027,26.719,30.082,28.149,11.057,28.961,40.552
g10028,14,10,4,12,13,5
g10029,0,0,25,53,24,28
g1003,2584.192,2469.422,2172.479,1505.621,1640.283,2192.838
g10030,10,10,8,14,6,11
g10031,0,0,12,11,15,19
g10032,20,17,21,57.083,10,48.301
g10033,30.098,24.156,36.155,38.131,16.918,13
