sample	plant.id	treatment.code	treatment	dom.no	1min	2min	3min	4min	5min	attack.avg	activity.level	date	time
sample4	107	be	guard	25	8	13	11	14	15	12.2	high	09-Jan	14:40
sample5	107	id	brood	25	8	13	11	14	15	12.2	brood	09-Jan	14:40
sample6	109	be	guard	15	3	3	5	6	5	4.4	low	10-Jan	9:40
sample7	109	id	brood	15	3	3	5	6	5	4.4	brood	10-Jan	9:40
sample13	193	be	guard	57	23	28	32	20	22	25	high	11-Jan	9:40
sample14	193	id	brood	57	23	28	32	20	22	25	brood	11-Jan	9:40
sample15	199	be	guard	15	0	0	0	1	0	0.2	low	12-Jan	9:50
sample16	199	id	brood	15	0	0	0	1	0	0.2	brood	12-Jan	9:50
sample17	201	be	guard	7	15	17	29	27	33	24.2	high	12-Jan	10:40
sample18	201	id	brood	7	15	17	29	27	33	24.2	brood	12-Jan	10:40
sample19	207	be	guard	5	0	0	0	1	1	0.4	low	12-Jan	11:00
sample20	207	id	brood	5	0	0	0	1	1	0.4	brood	12-Jan	11:00
