gene_id,sample4,sample5,sample6,sample7,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20
g0,669910.573,516738.864,619049.008,730347.739,532479.316,858278.529,658426.853,469392.082,1892016.244,461698.48,461704.906,661323.026
g1,1335.909,2019.001,1377,1792.722,1091,3369.848,1181.87,2972.088,3788.864,2339.547,857,1882.17
g10,5205.563,3706.68,4653.265,6694.704,4468.146,6694.083,4696.602,3318.825,17429.123,3306.424,3590.919,4640.451
g100,1580.721,1502.941,1168.99,2030.067,1388.733,2831.464,1493.317,1296.985,3732.864,1306.865,1061.15,1647.461
g1000,1810.437,1329.42,1823.552,2321.872,1562.51,2331.414,1701.801,1072.53,6641.165,1099.927,1017.719,1367.155
g10000,514.196,392.602,453.297,484.28,427.005,715.832,397.816,409.613,1663.553,359.412,312.161,541.56
g10001,367.41,252.972,336.942,535.81,239.459,492.555,336.883,263.719,1012.628,281.135,249.338,325.374
g10002,8.894,6.23,5.104,10.388,9.336,10.388,14.551,14.841,24.151,6.235,13.553,8.339
g10003,5.043,11.742,3,2,4.214,15.291,6.022,5.576,13.173,4,3.096,7
g10004,9,6,11,6,6,13,7.042,5,20.793,4.267,6,10
g10005,11.475,8,12.008,13,3.9,11,7,8,23.018,11,8,9
g10006,4,3,12,5,5,9,11,3,28,6,3,6
g10007,1387.04,874.384,1879.094,1496.603,1251.256,1579.737,1862.019,878.715,4613.262,601.519,1205.293,1401.949
g10008,95.722,86.133,98.676,163.855,84.627,295.259,89.743,96.875,373.279,112.496,76.547,112.75
g10009,168.004,236,44,89,85,90,100,123,248,70,33,119
g1001,1376.482,1114,1139,1645.001,1092.152,1851.152,1240.027,908,3973.544,921,861,1290.682
g10010,12.275,5.25,8.343,10.59,3.029,19.62,12.287,9.282,27.59,1.341,3.338,4.851
g10011,4,4,4,12.024,4,6,5.003,1,15.446,4,7,6.136
g10012,62.516,108.996,190.676,107.515,123.248,80.013,106.924,0,376.71,138.7,137.416,197.518
g10013,0,0,0,0,0,0,3.876,4.855,12.368,0,0,10.405
g10014,190.85,107.569,129.344,198.91,126.136,149.401,131.98,195.045,556.992,140.505,119.139,161.545
g10015,265.621,147.021,140.886,279.276,190.373,331.291,229.268,157.008,783.248,173.387,181.188,201.304
g10016,45.864,25.309,51.107,44.552,37.211,55.469,37.327,34.871,148.26,36.758,44.194,77.055
g10017,26.247,18.862,31.603,23.602,25.096,44.658,36.033,24.842,95.269,20.738,26.222,25.848
g10018,124,85.197,102,87.058,73,94.236,110,76.884,249.343,71.217,82,91
g10019,56.405,31.93,51.529,63.372,35.039,70.006,51.31,30.903,155.83,30.88,39.832,45.548
g1002,786,606.991,795.999,905.461,624.977,1158.991,791.966,674.001,2710.002,635,583.024,787.732
g10020,20,12,29.001,17,10,18,18,15,29,6,44,31
g10021,0,0,0,0,0,1,1,0,0,0,0,0
g10022,8.722,9.035,4.001,11.002,5.593,15.446,5.383,8.016,39.609,9.011,14,11.045
g10023,11,4.304,14,7,6,6,5,3,31.563,10,9,13
g10024,18.002,20.1,12,29.241,10,56.64,26,37.774,38.09,31.306,6.005,22.002
g10025,170.877,132.844,116.645,175.772,113.479,205.612,134.666,106.359,532.723,109.858,112.498,200.142
g10026,346.794,263.319,564.01,353.302,243.131,353.472,411.363,272.317,1287.178,323.35,273.203,334.286
g10027,25.673,21.075,26.719,30.082,26.007,54.637,28.149,11.057,89.684,21.749,28.961,40.552
g10028,33,23,14,10,13,13,4,12,33,15,13,5
g10029,28,15,0,0,0,0,25,53,0,0,24,28
g1003,2292.592,1762.469,2584.192,2469.422,1709.625,3169.923,2172.479,1505.621,6847.813,1544.646,1640.283,2192.838
g10030,14,10,10,10,11,24,8,14,38,5,6,11
g10031,10,5,0,0,0,0,12,11,0,0,15,19
g10032,29,36.096,20,17,14,69,21,57.083,59.094,32,10,48.301
g10033,62.162,34,30.098,24.156,16.455,20.689,36.155,38.131,88.173,11.436,16.918,13
g10034,31,9,1,1,0,0,31,67,0,0,14,12
g10035,0,7,0,14,3,9,0,2,17,3,2,12
g10036,12116.819,8742.211,12026.647,12604.881,8282.934,15247.292,10513.16,8496.671,21017.793,7571.15,6752.066,9492.875
g10037,293.521,177.022,114.7,78.017,222.05,272.333,232.308,112.841,745.436,96.119,123.585,133.611
g10038,6,4.35,8,11,5,10.996,7,3,25.071,3,2,5
g10039,8,2,7,10,2,5,3,5.005,9.001,5,1,4
g1004,991.752,777.934,1116.789,1173.887,927.913,1472.128,1100.982,777.365,3431.336,655.439,656.802,937.219
g10040,107.893,74.488,52.074,59.564,53.868,102.74,91.679,74.612,275.292,51.012,74.036,98.745
g10041,37.431,30.474,23.975,30.65,38.125,55.323,29.297,32.114,75.368,27.184,26.425,50.072
g10042,44.296,63.481,57.937,92.346,40.078,104.735,76.818,33.466,165.095,46.307,57.487,112.778
g10043,16.642,19.635,23.47,27.429,10.191,24.868,20.984,12.503,67.269,14.02,11.985,16.17
g10044,11,11,12,8,10,3,20,6,22,3,8,4
g10045,337.758,219.141,227,354.999,245.072,512,265.999,183.001,746,207,213,247
g10046,255.513,197.303,256,228,169.12,291.989,234,167,763.152,169,163,236.436
g10047,8,4,5,5,3,7,5,5,9,5,6,4
g10048,8218.94,17040.278,14398.983,16681.645,16097.542,43026.231,15722.617,11614.083,32561.44,11515.085,18446.503,27406.705
g10049,18.148,5.046,23.093,12.738,24.725,25.252,16.177,3.572,59.824,14.434,7.589,14.643
g1005,1421.246,927.475,1382.926,1584.847,1119.17,1995.62,1306.438,828.316,4733.367,805.821,993.777,1219.678
g10050,611.441,538.539,500.474,714.695,514.997,1037,619.833,505.883,1880.703,510.845,532.99,741.319
g10051,41.509,24.444,45.454,27.782,25.718,41.191,24.449,34.493,59.26,18.348,15.439,16.795
g10052,33.768,16,26,37,18,24.98,26,14,101,16,14,21
g10053,19.754,7,22.774,32,15,6,18.999,8.076,40.001,5.951,9,10
g10054,21,7,0,0,0,0,15,46,0,0,10,15
g10055,18.361,5.231,12.406,7.264,11.357,16.589,9.375,6.259,35.644,7.305,9.202,10.128
g10056,91.638,74,74,128,72,134.89,114.244,62.631,206.958,69.951,59.468,101
g10057,33.482,19.903,18.842,28.402,9.823,30.397,26.97,14.696,82.228,19.291,12.503,26.23
g10058,0,0,0,0,0,0,0,0,0,0,0,0
g10059,3.222,3,0,0,7.324,2.167,14.684,7,13,3,39.694,20.959
g1006,2776.24,2265.273,2204.61,3038.768,1623.025,3076.884,2689.841,2512.366,7555.774,1968.574,1502.152,2801.975
g10060,6,3,6,13.065,11,15,10,8,21,6,3.035,9
g10061,16,5,0,0,0,0,9,30,0,0,12,6
g10062,26.993,13.044,10.017,27.327,21.889,28.66,23.88,18.5,60.179,9.922,28.569,38.52
g10063,588.035,416.016,523,653,439,724,561,412,1520.82,411,403,485
g10064,10.363,4.468,12.085,8.983,13.447,17.274,10.055,11.131,33.096,5.001,10.384,6.051
g10065,9.916,15.728,57.457,57.711,38.181,79.776,17.598,19.459,103.175,24.828,49.367,48
g10066,8.002,5,23.802,13.833,10.973,14.994,15.229,12.308,24,6,10.925,9.819
g10067,0,0,128.179,10,0,0,0,0,0,0,2,0
g10068,72.477,43.068,122.81,143.38,72.8,100.429,64.603,25.692,561.997,65.831,122.799,134.279
g10069,16,9,17,23.156,11,23.923,17.004,11,41,14,12,28
g1007,1642.198,1257.952,1219.144,1829.224,1007.718,1881.496,1625.599,1068.222,4751.01,975.57,1010.176,1310.234
g10070,22.196,15.419,19.957,33.523,23.539,23.022,26.417,20.329,70.252,9.412,15.495,40.381
g10071,11,6,11,12,13,13,14,7,23,3,9,2
g10072,6,10,6,21,4,12,10,13,31,12,15,8
g10073,174.234,125.14,122.174,140.477,111.416,191.892,138.072,129.245,437.201,113.801,103.399,139.117
g10074,581.433,472.014,489.268,426.911,287.518,495.001,432.612,309.033,1130.621,298.748,285.766,402.661
g10075,289.682,208.367,278.574,265.859,202.022,267.204,275.264,195.206,764.3,228.763,160.785,257.59
g10076,230.053,135.029,140.945,215.946,130.488,150.008,195.898,196.743,534.177,135.003,127,281.791
g10077,14.754,11.441,16.71,50.236,17.113,35.317,19.968,22.783,86.78,34.943,23.005,27.679
g10078,44.089,22.224,46.057,35.72,44.403,30.495,33.195,33.283,121.534,24.955,28.015,28.464
g10079,35.908,13.518,21,14,14.818,37.143,46.451,36.571,35.175,8.796,19,20.968
g1008,735.259,550.073,563.471,794.687,494.622,1001.878,747.946,564.43,2258.692,489.249,481.532,661.387
g10080,14,13,25,12.019,12,26,22,10,37,21,10,22.108
g10081,12,6,9.818,10.261,1,5,5.672,2,19.628,11,5,6
g10082,9,6,12,8,1,12,6,8,34,5,10,4
g10083,40.028,13.42,20.186,22.098,20.347,24.909,20.073,14.293,47.006,13.006,13.062,22.468
g10084,3,6,10,12,3,10,6,7,10,3,4,5
g10085,721.379,471.893,733.657,672.115,485.493,748.849,652.375,472.386,2367.839,428.29,463.626,684.551
g10086,10,9,12,13.472,18,24.481,27.614,15.636,40.939,11.876,1,14.809
g10087,6,6,15.019,10,8,18.998,4,6.005,31.804,8,10,13
g10088,63.95,43.195,49.531,66.345,39.553,79.422,60.302,30.672,114.399,43.636,49.99,63.346
g10089,689.514,422.984,698.122,527.645,444.6,701.82,633.959,373.904,2369.306,307.41,423.439,483.083
g1009,1918.163,1734.004,2032.497,2811.432,1764.646,3155.999,2084.999,1582,6340.509,1626,1478,2100.999
g10090,6.96,3,12.925,17.98,11.868,12.071,13.604,14.361,34.343,8.515,8.672,12.506
g10091,3,1.657,3.02,2,0,1,1,0,4.802,0,2,226.427
g10092,2.005,8.101,10.035,14.023,7.047,11.132,8,7.032,27.081,4.022,17,11.106
g10093,14,17.013,11,6,18.236,26.962,22.887,9.761,53.384,11,4,10
g10094,15475.661,16803.133,11950.675,19477.039,10164.792,19189.953,12624.345,14208.831,39162.025,16012.145,8597.218,16076.712
g10095,36.431,67.532,33.771,47.148,29.004,40.215,56.003,51.112,120.337,72.565,31.02,62.276
g10096,3,3.001,6,9.164,5,5,3,4,11.953,1,3,2.009
g10097,6,3.223,4,3,4,4,3,6,13.593,4,2,8.034
g10098,145.227,116.06,132.253,159.701,87.575,241.852,135.997,97.746,417.417,74.088,84.766,106.449
g10099,3634.869,2228,3535.191,3926.069,2567,4531,2855.958,1765,7466.485,1786,2255,2906
g101,3875.658,3203.742,3408.269,4707.142,2809.259,5087.614,4742.787,3287.367,14416.131,2331.004,3416.454,4634.239
g1010,2339.638,2017.321,1807.226,2663.676,1731.192,3211.415,2283.283,1855.051,6182.717,1657.895,1467.814,2130.239
g10100,56.266,40.576,27.125,61.833,26.983,56.068,53.516,59.396,176.657,38.932,22.65,67.821
g10101,0,0,0,0,0,0,0,0,0,0,0,0
g10102,7,2,6,6,6,5,3,4,4.339,4,2,5
g10103,802.134,599.926,852.39,1038.219,707.532,1128.646,772.121,493.418,2417.216,535.426,643.971,910.061
g10104,34.82,26.34,157.71,36.555,33.912,42.286,83.43,15.01,92.561,40.213,71.3,30.5
g10105,9,8,10,10,5,7,2,4,31,4,2,9
g10106,10,3.027,9.011,6,1,6,4,3,12.96,7,3,2.971
g10107,7,8,9,7,12,7,5,4,14,5,4,1
g10108,39.452,27.988,49.994,31.843,35.732,64.065,62.511,36.106,186.173,24.302,44.979,49.431
g10109,358,248,322.004,370,292,443,329.031,243.981,955.204,243,249.036,348.269
g1011,351.964,357.399,381.96,511.666,322.021,651.629,406.36,480.935,1201.463,327.886,231.747,391.612
g10110,224,145,171,141,86,187,206.197,187,474.045,115,122,186
g10111,31.964,3.159,18.509,5.363,7.364,16.933,6.472,6.348,41.264,6.43,7.721,9.957
g10112,104.47,67.432,72.673,73.485,85.033,87.837,61.987,57.193,278.162,47.648,69.91,79.987
g10113,6,1,8,7,6,7,4,5,31.985,7,5,4
g10114,11,6,11,6,6,9,5,6,19,6,7.037,6
g10115,5,6.014,13,9,6,3,11,5,7.003,3,3,5
g10116,498.735,337.861,343.344,495.891,262.701,415.108,363.46,374.577,1264.691,296.363,295.455,402.103
g10117,170.468,100.084,112.631,176.784,95.999,182.999,129.706,131.003,526.578,119.489,97.879,172.824
g10118,19.6,14.678,5.902,2.424,13.313,17.811,5.566,10.383,20.648,0,9.208,18.789
g10119,10,256,7,176,36,240,3,283,164,250,14,283
g1012,3063.978,2347.31,2362.521,3068.571,2152.252,3978.007,2973.253,2126.432,7390.246,1963.406,1943.317,2841.996
g10120,56.07,28.68,27.705,57.867,29.488,49.657,41.013,41.968,98.086,24.508,29.67,38.378
g10121,18.033,34,35.35,57.327,17.013,40.573,20.399,23.165,76.923,23.369,9.112,28.167
g10122,0,0,0,154,0,0,0,0,0,0,0,0
g10123,7,6,11,8,5,6,5,5,15,6,1,7
g10124,496.443,430.497,490.007,598.548,412.678,690.109,534.638,406.128,1494.027,355.449,355.802,532.011
g10125,37,27.004,27.011,60.582,34.718,42.888,20,21.81,85.544,23,18,38.6
g10126,10,21,0,0,0,0,15,18,0,1,6,27
g10127,7,5,18.024,8.738,5,11,6,3,14.315,7,3,6
g10128,15.039,12,6.999,10.004,7,4.043,0,6.016,21.641,4,1,6
g10129,268,174,293,233,168,273,226.93,170.025,809.536,198.822,166,278.037
g1013,1119.111,917.277,924.562,1487.222,883.351,1733.947,1186.638,860.586,3901.689,771.89,972.453,1328.494
g10130,27.452,20.109,25.138,21.316,16.115,40.082,18.728,13.08,57.447,17.745,17.852,4.826
g10131,65.659,65.859,70.269,115.551,68.976,126.482,65.734,43.838,173.853,73.965,52.415,85.538
g10132,12.647,10,16.804,14.999,14.853,10.708,12.798,13.388,34.648,9.02,16.612,48.935
g10133,13,11,7,5,6.083,17.96,10,16,16,5,1,11
