Level,GO ID,GO Name,GO Type,Parents (ACC),Parents (Name),Nodescore,#Seqs,Sequence Names
4,GO:0008104,protein localization,Biological Process,GO:0033036,macromolecule localization,11.71,10,"NODE_2370_length_7303_cov_63.936899_g1008_i0, NODE_7376_length_4728_cov_2993.071292_g2742_i0, NODE_9454_length_4139_cov_320.438929_g2510_i2, NODE_12928_length_3421_cov_516.201946_g758_i3, NODE_10989_length_3792_cov_3974.340154_g2742_i2, NODE_9401_length_4152_cov_597.538928_g2510_i1, NODE_6560_length_4995_cov_526.159484_g758_i1, NODE_9981_length_4019_cov_3723.655388_g2742_i1, NODE_12402_length_3515_cov_375.897017_g423_i6, NODE_1699_length_8043_cov_328.057025_g758_i0"
4,GO:0080090,regulation of primary metabolic process,Biological Process,"GO:0044238, GO:0019222","primary metabolic process, regulation of metabolic process",8.23,8,"NODE_5350_length_5454_cov_788.073733_g962_i5, NODE_1980_length_7688_cov_354.814206_g504_i1, NODE_2264_length_7387_cov_368.952025_g504_i2, NODE_7154_length_4803_cov_116.811060_g962_i10, NODE_1092_length_8977_cov_305.019893_g504_i0, NODE_2771_length_6945_cov_775.797282_g962_i1, NODE_6585_length_4987_cov_880.665389_g962_i8, NODE_6394_length_5057_cov_1074.700278_g962_i7"
4,GO:0006725,cellular aromatic compound metabolic process,Biological Process,GO:0044237,cellular metabolic process,5.65,25,"NODE_7292_length_4762_cov_272.768012_g2301_i1, NODE_1980_length_7688_cov_354.814206_g504_i1, NODE_11334_length_3717_cov_73.489425_g4085_i0, NODE_6050_length_5175_cov_249.633307_g2301_i0, NODE_7748_length_4605_cov_398.110140_g2865_i0, NODE_11257_length_3731_cov_850.442193_g2346_i2, NODE_7487_length_4692_cov_193.626635_g1119_i2, NODE_7685_length_4626_cov_306.735697_g2813_i1, NODE_578_length_10513_cov_374.971290_g262_i0, NODE_738_length_9940_cov_438.301887_g262_i2, NODE_6195_length_5127_cov_3348.235583_g2346_i0, NODE_1085_length_8985_cov_1291.794774_g62_i1, NODE_8238_length_4458_cov_401.447957_g2865_i1, NODE_12937_length_3420_cov_462.366853_g3479_i1, NODE_1092_length_8977_cov_305.019893_g504_i0, NODE_7858_length_4573_cov_213.232394_g1594_i3, NODE_2668_length_7029_cov_161.669714_g1119_i0, NODE_6594_length_4984_cov_3723.915237_g2346_i1, NODE_795_length_9702_cov_456.133981_g262_i4, NODE_8348_length_4429_cov_341.444545_g2865_i2, NODE_7878_length_4566_cov_618.929910_g1594_i4, NODE_2264_length_7387_cov_368.952025_g504_i2, NODE_10871_length_3816_cov_670.143385_g19_i9, NODE_9874_length_4045_cov_372.415837_g2865_i6, NODE_7606_length_4649_cov_557.220346_g2813_i0"
4,GO:0034641,cellular nitrogen compound metabolic process,Biological Process,"GO:0044237, GO:0006807","cellular metabolic process, nitrogen compound metabolic process",6.04,26,"NODE_7292_length_4762_cov_272.768012_g2301_i1, NODE_1980_length_7688_cov_354.814206_g504_i1, NODE_11334_length_3717_cov_73.489425_g4085_i0, NODE_6050_length_5175_cov_249.633307_g2301_i0, NODE_12402_length_3515_cov_375.897017_g423_i6, NODE_7748_length_4605_cov_398.110140_g2865_i0, NODE_11257_length_3731_cov_850.442193_g2346_i2, NODE_7487_length_4692_cov_193.626635_g1119_i2, NODE_7685_length_4626_cov_306.735697_g2813_i1, NODE_578_length_10513_cov_374.971290_g262_i0, NODE_738_length_9940_cov_438.301887_g262_i2, NODE_6195_length_5127_cov_3348.235583_g2346_i0, NODE_1085_length_8985_cov_1291.794774_g62_i1, NODE_8238_length_4458_cov_401.447957_g2865_i1, NODE_12937_length_3420_cov_462.366853_g3479_i1, NODE_1092_length_8977_cov_305.019893_g504_i0, NODE_7858_length_4573_cov_213.232394_g1594_i3, NODE_2668_length_7029_cov_161.669714_g1119_i0, NODE_6594_length_4984_cov_3723.915237_g2346_i1, NODE_795_length_9702_cov_456.133981_g262_i4, NODE_8348_length_4429_cov_341.444545_g2865_i2, NODE_7878_length_4566_cov_618.929910_g1594_i4, NODE_2264_length_7387_cov_368.952025_g504_i2, NODE_10871_length_3816_cov_670.143385_g19_i9, NODE_9874_length_4045_cov_372.415837_g2865_i6, NODE_7606_length_4649_cov_557.220346_g2813_i0"
4,GO:1901564,organonitrogen compound metabolic process,Biological Process,"GO:0071704, GO:0006807","organic substance metabolic process, nitrogen compound metabolic process",15.12,22,"NODE_12577_length_3482_cov_3795.058210_g3822_i1, NODE_7292_length_4762_cov_272.768012_g2301_i1, NODE_8116_length_4491_cov_1283.713133_g2274_i1, NODE_1106_length_8958_cov_207.557621_g488_i1, NODE_11334_length_3717_cov_73.489425_g4085_i0, NODE_9578_length_4111_cov_347.587457_g2328_i2, NODE_11720_length_3636_cov_207.422512_g4210_i0, NODE_2668_length_7029_cov_161.669714_g1119_i0, NODE_3823_length_6240_cov_878.540976_g0_i408, NODE_10512_length_3893_cov_3392.351708_g3822_i0, NODE_6050_length_5175_cov_249.633307_g2301_i0, NODE_12402_length_3515_cov_375.897017_g423_i6, NODE_1063_length_9049_cov_217.441463_g488_i0, NODE_10997_length_3791_cov_649.803030_g3469_i1, NODE_11626_length_3656_cov_22.308519_g423_i5, NODE_9407_length_4150_cov_345.203591_g2328_i1, NODE_7487_length_4692_cov_193.626635_g1119_i2, NODE_9907_length_4039_cov_81.408728_g2328_i3, NODE_5209_length_5520_cov_161.198871_g537_i5, NODE_10871_length_3816_cov_670.143385_g19_i9, NODE_1176_length_8811_cov_169.680597_g488_i2, NODE_2281_length_7365_cov_494.348282_g980_i0"
4,GO:0009889,regulation of biosynthetic process,Biological Process,"GO:0009058, GO:0019222","biosynthetic process, regulation of metabolic process",9.99,8,"NODE_5350_length_5454_cov_788.073733_g962_i5, NODE_1980_length_7688_cov_354.814206_g504_i1, NODE_2264_length_7387_cov_368.952025_g504_i2, NODE_7154_length_4803_cov_116.811060_g962_i10, NODE_1092_length_8977_cov_305.019893_g504_i0, NODE_2771_length_6945_cov_775.797282_g962_i1, NODE_6585_length_4987_cov_880.665389_g962_i8, NODE_6394_length_5057_cov_1074.700278_g962_i7"
4,GO:0044260,cellular macromolecule metabolic process,Biological Process,"GO:0044237, GO:0043170","cellular metabolic process, macromolecule metabolic process",20.6,26,"NODE_7292_length_4762_cov_272.768012_g2301_i1, NODE_11720_length_3636_cov_207.422512_g4210_i0, NODE_6050_length_5175_cov_249.633307_g2301_i0, NODE_12402_length_3515_cov_375.897017_g423_i6, NODE_11626_length_3656_cov_22.308519_g423_i5, NODE_9407_length_4150_cov_345.203591_g2328_i1, NODE_7748_length_4605_cov_398.110140_g2865_i0, NODE_11257_length_3731_cov_850.442193_g2346_i2, NODE_7685_length_4626_cov_306.735697_g2813_i1, NODE_578_length_10513_cov_374.971290_g262_i0, NODE_738_length_9940_cov_438.301887_g262_i2, NODE_6195_length_5127_cov_3348.235583_g2346_i0, NODE_2281_length_7365_cov_494.348282_g980_i0, NODE_12577_length_3482_cov_3795.058210_g3822_i1, NODE_8116_length_4491_cov_1283.713133_g2274_i1, NODE_8238_length_4458_cov_401.447957_g2865_i1, NODE_9578_length_4111_cov_347.587457_g2328_i2, NODE_12937_length_3420_cov_462.366853_g3479_i1, NODE_3823_length_6240_cov_878.540976_g0_i408, NODE_6594_length_4984_cov_3723.915237_g2346_i1, NODE_10512_length_3893_cov_3392.351708_g3822_i0, NODE_795_length_9702_cov_456.133981_g262_i4, NODE_8348_length_4429_cov_341.444545_g2865_i2, NODE_9907_length_4039_cov_81.408728_g2328_i3, NODE_9874_length_4045_cov_372.415837_g2865_i6, NODE_7606_length_4649_cov_557.220346_g2813_i0"
4,GO:0034220,ion transmembrane transport,Biological Process,"GO:0006811, GO:0055085","ion transport, transmembrane transport",7.56,9,"NODE_11528_length_3675_cov_30.868075_g3339_i1, NODE_12523_length_3492_cov_7645.640774_g2846_i1, NODE_2628_length_7066_cov_1369.602672_g225_i3, NODE_7686_length_4625_cov_5537.661445_g2846_i0, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_12971_length_3413_cov_7828.411348_g2846_i2, NODE_495_length_10846_cov_3750.662568_g225_i0, NODE_2208_length_7451_cov_8442.962005_g225_i1"
4,GO:0042592,homeostatic process,Biological Process,GO:0065008,regulation of biological quality,0.53,9,"NODE_11528_length_3675_cov_30.868075_g3339_i1, NODE_12523_length_3492_cov_7645.640774_g2846_i1, NODE_7686_length_4625_cov_5537.661445_g2846_i0, NODE_2628_length_7066_cov_1369.602672_g225_i3, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_12971_length_3413_cov_7828.411348_g2846_i2, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_495_length_10846_cov_3750.662568_g225_i0, NODE_2208_length_7451_cov_8442.962005_g225_i1"
4,GO:0043170,macromolecule metabolic process,Biological Process,GO:0071704,organic substance metabolic process,21.03,38,"NODE_5350_length_5454_cov_788.073733_g962_i5, NODE_7292_length_4762_cov_272.768012_g2301_i1, NODE_1980_length_7688_cov_354.814206_g504_i1, NODE_7154_length_4803_cov_116.811060_g962_i10, NODE_11720_length_3636_cov_207.422512_g4210_i0, NODE_2771_length_6945_cov_775.797282_g962_i1, NODE_6050_length_5175_cov_249.633307_g2301_i0, NODE_12402_length_3515_cov_375.897017_g423_i6, NODE_10997_length_3791_cov_649.803030_g3469_i1, NODE_11626_length_3656_cov_22.308519_g423_i5, NODE_9407_length_4150_cov_345.203591_g2328_i1, NODE_7748_length_4605_cov_398.110140_g2865_i0, NODE_11257_length_3731_cov_850.442193_g2346_i2, NODE_7685_length_4626_cov_306.735697_g2813_i1, NODE_578_length_10513_cov_374.971290_g262_i0, NODE_738_length_9940_cov_438.301887_g262_i2, NODE_6195_length_5127_cov_3348.235583_g2346_i0, NODE_1085_length_8985_cov_1291.794774_g62_i1, NODE_2281_length_7365_cov_494.348282_g980_i0, NODE_12577_length_3482_cov_3795.058210_g3822_i1, NODE_8116_length_4491_cov_1283.713133_g2274_i1, NODE_8238_length_4458_cov_401.447957_g2865_i1, NODE_9578_length_4111_cov_347.587457_g2328_i2, NODE_12937_length_3420_cov_462.366853_g3479_i1, NODE_1092_length_8977_cov_305.019893_g504_i0, NODE_7858_length_4573_cov_213.232394_g1594_i3, NODE_6585_length_4987_cov_880.665389_g962_i8, NODE_3823_length_6240_cov_878.540976_g0_i408, NODE_6594_length_4984_cov_3723.915237_g2346_i1, NODE_10512_length_3893_cov_3392.351708_g3822_i0, NODE_795_length_9702_cov_456.133981_g262_i4, NODE_8348_length_4429_cov_341.444545_g2865_i2, NODE_7878_length_4566_cov_618.929910_g1594_i4, NODE_9907_length_4039_cov_81.408728_g2328_i3, NODE_2264_length_7387_cov_368.952025_g504_i2, NODE_6394_length_5057_cov_1074.700278_g962_i7, NODE_9874_length_4045_cov_372.415837_g2865_i6, NODE_7606_length_4649_cov_557.220346_g2813_i0"
