Level,GO ID,GO Name,GO Type,Parents (ACC),Parents (Name),Nodescore,#Seqs,Sequence Names
2,GO:0110165,cellular anatomical entity,Cellular Component,GO:0005575,cellular_component,219.76,79,"NODE_5350_length_5454_cov_788.073733_g962_i5, NODE_2628_length_7066_cov_1369.602672_g225_i3, NODE_11334_length_3717_cov_73.489425_g4085_i0, NODE_7154_length_4803_cov_116.811060_g962_i10, NODE_9401_length_4152_cov_597.538928_g2510_i1, NODE_10707_length_3851_cov_142.454997_g3319_i2, NODE_2771_length_6945_cov_775.797282_g962_i1, NODE_10997_length_3791_cov_649.803030_g3469_i1, NODE_7376_length_4728_cov_2993.071292_g2742_i0, NODE_11626_length_3656_cov_22.308519_g423_i5, NODE_11257_length_3731_cov_850.442193_g2346_i2, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_10342_length_3931_cov_39.563301_g2969_i1, NODE_6195_length_5127_cov_3348.235583_g2346_i0, NODE_1699_length_8043_cov_328.057025_g758_i0, NODE_8116_length_4491_cov_1283.713133_g2274_i1, NODE_8238_length_4458_cov_401.447957_g2865_i1, NODE_6585_length_4987_cov_880.665389_g962_i8, NODE_3252_length_6569_cov_263.308563_g885_i1, NODE_4874_length_5667_cov_203.868216_g1849_i1, NODE_6594_length_4984_cov_3723.915237_g2346_i1, NODE_10512_length_3893_cov_3392.351708_g3822_i0, NODE_4743_length_5736_cov_200.055195_g1849_i0, NODE_1063_length_9049_cov_217.441463_g488_i0, NODE_8348_length_4429_cov_341.444545_g2865_i2, NODE_7605_length_4649_cov_620.909524_g1594_i2, NODE_7686_length_4625_cov_5537.661445_g2846_i0, NODE_13061_length_3398_cov_4088.096765_g162_i2, NODE_9907_length_4039_cov_81.408728_g2328_i3, NODE_6901_length_4886_cov_427.297715_g504_i4, NODE_495_length_10846_cov_3750.662568_g225_i0, NODE_9874_length_4045_cov_372.415837_g2865_i6, NODE_1176_length_8811_cov_169.680597_g488_i2, NODE_1553_length_8250_cov_710.451891_g695_i0, NODE_747_length_9897_cov_75.859343_g334_i0, NODE_1980_length_7688_cov_354.814206_g504_i1, NODE_10309_length_3936_cov_4008.002560_g3344_i1, NODE_11720_length_3636_cov_207.422512_g4210_i0, NODE_11190_length_3747_cov_148.004572_g3319_i4, NODE_7849_length_4575_cov_1012.680598_g1027_i7, NODE_12402_length_3515_cov_375.897017_g423_i6, NODE_8150_length_4482_cov_312.827757_g1666_i2, NODE_11528_length_3675_cov_30.868075_g3339_i1, NODE_10989_length_3792_cov_3974.340154_g2742_i2, NODE_7748_length_4605_cov_398.110140_g2865_i0, NODE_7685_length_4626_cov_306.735697_g2813_i1, NODE_10961_length_3797_cov_5.813960_g3959_i0, NODE_1085_length_8985_cov_1291.794774_g62_i1, NODE_9981_length_4019_cov_3723.655388_g2742_i1, NODE_12525_length_3492_cov_254.626047_g0_i756, NODE_2281_length_7365_cov_494.348282_g980_i0, NODE_355_length_11803_cov_2535.131136_g162_i0, NODE_12577_length_3482_cov_3795.058210_g3822_i1, NODE_9014_length_4252_cov_132.954061_g3319_i0, NODE_12089_length_3570_cov_239.484609_g0_i738, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_9120_length_4224_cov_4206.724672_g3344_i0, NODE_1106_length_8958_cov_207.557621_g488_i1, NODE_2033_length_7640_cov_235.536329_g885_i0, NODE_12971_length_3413_cov_7828.411348_g2846_i2, NODE_1092_length_8977_cov_305.019893_g504_i0, NODE_12051_length_3578_cov_94.374753_g1849_i2, NODE_3823_length_6240_cov_878.540976_g0_i408, NODE_10888_length_3813_cov_270.924154_g741_i4, NODE_2208_length_7451_cov_8442.962005_g225_i1, NODE_2370_length_7303_cov_63.936899_g1008_i0, NODE_12523_length_3492_cov_7645.640774_g2846_i1, NODE_12928_length_3421_cov_516.201946_g758_i3, NODE_9454_length_4139_cov_320.438929_g2510_i2, NODE_938_length_9318_cov_446.993002_g430_i0, NODE_2264_length_7387_cov_368.952025_g504_i2, NODE_9114_length_4227_cov_133.719867_g3319_i1, NODE_12837_length_3435_cov_4400.177334_g162_i1, NODE_5469_length_5409_cov_143.362454_g334_i2, NODE_6560_length_4995_cov_526.159484_g758_i1, NODE_6394_length_5057_cov_1074.700278_g962_i7, NODE_2762_length_6952_cov_106.174057_g334_i1, NODE_10871_length_3816_cov_670.143385_g19_i9, NODE_7606_length_4649_cov_557.220346_g2813_i0"
2,GO:0032991,protein-containing complex,Cellular Component,GO:0005575,cellular_component,3.12,9,"NODE_12928_length_3421_cov_516.201946_g758_i3, NODE_9454_length_4139_cov_320.438929_g2510_i2, NODE_9401_length_4152_cov_597.538928_g2510_i1, NODE_6560_length_4995_cov_526.159484_g758_i1, NODE_3823_length_6240_cov_878.540976_g0_i408, NODE_1085_length_8985_cov_1291.794774_g62_i1, NODE_1699_length_8043_cov_328.057025_g758_i0, NODE_12402_length_3515_cov_375.897017_g423_i6, NODE_2281_length_7365_cov_494.348282_g980_i0"
3,GO:0043226,organelle,Cellular Component,GO:0110165,cellular anatomical entity,51.86,44,"NODE_1980_length_7688_cov_354.814206_g504_i1, NODE_747_length_9897_cov_75.859343_g334_i0, NODE_9401_length_4152_cov_597.538928_g2510_i1, NODE_10707_length_3851_cov_142.454997_g3319_i2, NODE_11190_length_3747_cov_148.004572_g3319_i4, NODE_12402_length_3515_cov_375.897017_g423_i6, NODE_10997_length_3791_cov_649.803030_g3469_i1, NODE_8150_length_4482_cov_312.827757_g1666_i2, NODE_11528_length_3675_cov_30.868075_g3339_i1, NODE_7376_length_4728_cov_2993.071292_g2742_i0, NODE_10989_length_3792_cov_3974.340154_g2742_i2, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_7685_length_4626_cov_306.735697_g2813_i1, NODE_10342_length_3931_cov_39.563301_g2969_i1, NODE_1085_length_8985_cov_1291.794774_g62_i1, NODE_1699_length_8043_cov_328.057025_g758_i0, NODE_9981_length_4019_cov_3723.655388_g2742_i1, NODE_12525_length_3492_cov_254.626047_g0_i756, NODE_2281_length_7365_cov_494.348282_g980_i0, NODE_355_length_11803_cov_2535.131136_g162_i0, NODE_12577_length_3482_cov_3795.058210_g3822_i1, NODE_9014_length_4252_cov_132.954061_g3319_i0, NODE_12089_length_3570_cov_239.484609_g0_i738, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_1092_length_8977_cov_305.019893_g504_i0, NODE_12971_length_3413_cov_7828.411348_g2846_i2, NODE_3823_length_6240_cov_878.540976_g0_i408, NODE_10888_length_3813_cov_270.924154_g741_i4, NODE_10512_length_3893_cov_3392.351708_g3822_i0, NODE_7605_length_4649_cov_620.909524_g1594_i2, NODE_2370_length_7303_cov_63.936899_g1008_i0, NODE_12523_length_3492_cov_7645.640774_g2846_i1, NODE_7686_length_4625_cov_5537.661445_g2846_i0, NODE_9454_length_4139_cov_320.438929_g2510_i2, NODE_12928_length_3421_cov_516.201946_g758_i3, NODE_2264_length_7387_cov_368.952025_g504_i2, NODE_13061_length_3398_cov_4088.096765_g162_i2, NODE_9114_length_4227_cov_133.719867_g3319_i1, NODE_12837_length_3435_cov_4400.177334_g162_i1, NODE_5469_length_5409_cov_143.362454_g334_i2, NODE_6560_length_4995_cov_526.159484_g758_i1, NODE_6901_length_4886_cov_427.297715_g504_i4, NODE_2762_length_6952_cov_106.174057_g334_i1, NODE_7606_length_4649_cov_557.220346_g2813_i0"
3,GO:0005737,cytoplasm,Cellular Component,"GO:0110165, GO:0005622","cellular anatomical entity, intracellular anatomical structure",55.78,35,"NODE_747_length_9897_cov_75.859343_g334_i0, NODE_11334_length_3717_cov_73.489425_g4085_i0, NODE_9401_length_4152_cov_597.538928_g2510_i1, NODE_10707_length_3851_cov_142.454997_g3319_i2, NODE_11190_length_3747_cov_148.004572_g3319_i4, NODE_7849_length_4575_cov_1012.680598_g1027_i7, NODE_10997_length_3791_cov_649.803030_g3469_i1, NODE_8150_length_4482_cov_312.827757_g1666_i2, NODE_7376_length_4728_cov_2993.071292_g2742_i0, NODE_11528_length_3675_cov_30.868075_g3339_i1, NODE_11626_length_3656_cov_22.308519_g423_i5, NODE_10989_length_3792_cov_3974.340154_g2742_i2, NODE_10342_length_3931_cov_39.563301_g2969_i1, NODE_9981_length_4019_cov_3723.655388_g2742_i1, NODE_12525_length_3492_cov_254.626047_g0_i756, NODE_1699_length_8043_cov_328.057025_g758_i0, NODE_9014_length_4252_cov_132.954061_g3319_i0, NODE_12089_length_3570_cov_239.484609_g0_i738, NODE_1106_length_8958_cov_207.557621_g488_i1, NODE_12971_length_3413_cov_7828.411348_g2846_i2, NODE_10888_length_3813_cov_270.924154_g741_i4, NODE_3823_length_6240_cov_878.540976_g0_i408, NODE_1063_length_9049_cov_217.441463_g488_i0, NODE_2370_length_7303_cov_63.936899_g1008_i0, NODE_7605_length_4649_cov_620.909524_g1594_i2, NODE_12523_length_3492_cov_7645.640774_g2846_i1, NODE_7686_length_4625_cov_5537.661445_g2846_i0, NODE_9454_length_4139_cov_320.438929_g2510_i2, NODE_12928_length_3421_cov_516.201946_g758_i3, NODE_9907_length_4039_cov_81.408728_g2328_i3, NODE_9114_length_4227_cov_133.719867_g3319_i1, NODE_5469_length_5409_cov_143.362454_g334_i2, NODE_6560_length_4995_cov_526.159484_g758_i1, NODE_2762_length_6952_cov_106.174057_g334_i1, NODE_1176_length_8811_cov_169.680597_g488_i2"
3,GO:0005622,intracellular anatomical structure,Cellular Component,GO:0110165,cellular anatomical entity,137.55,61,"NODE_5350_length_5454_cov_788.073733_g962_i5, NODE_11334_length_3717_cov_73.489425_g4085_i0, NODE_7154_length_4803_cov_116.811060_g962_i10, NODE_9401_length_4152_cov_597.538928_g2510_i1, NODE_10707_length_3851_cov_142.454997_g3319_i2, NODE_2771_length_6945_cov_775.797282_g962_i1, NODE_10997_length_3791_cov_649.803030_g3469_i1, NODE_11626_length_3656_cov_22.308519_g423_i5, NODE_7376_length_4728_cov_2993.071292_g2742_i0, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_10342_length_3931_cov_39.563301_g2969_i1, NODE_1699_length_8043_cov_328.057025_g758_i0, NODE_8238_length_4458_cov_401.447957_g2865_i1, NODE_6585_length_4987_cov_880.665389_g962_i8, NODE_10512_length_3893_cov_3392.351708_g3822_i0, NODE_1063_length_9049_cov_217.441463_g488_i0, NODE_8348_length_4429_cov_341.444545_g2865_i2, NODE_7605_length_4649_cov_620.909524_g1594_i2, NODE_7686_length_4625_cov_5537.661445_g2846_i0, NODE_13061_length_3398_cov_4088.096765_g162_i2, NODE_9907_length_4039_cov_81.408728_g2328_i3, NODE_6901_length_4886_cov_427.297715_g504_i4, NODE_9874_length_4045_cov_372.415837_g2865_i6, NODE_1176_length_8811_cov_169.680597_g488_i2, NODE_1980_length_7688_cov_354.814206_g504_i1, NODE_747_length_9897_cov_75.859343_g334_i0, NODE_11720_length_3636_cov_207.422512_g4210_i0, NODE_7849_length_4575_cov_1012.680598_g1027_i7, NODE_11190_length_3747_cov_148.004572_g3319_i4, NODE_12402_length_3515_cov_375.897017_g423_i6, NODE_8150_length_4482_cov_312.827757_g1666_i2, NODE_11528_length_3675_cov_30.868075_g3339_i1, NODE_10989_length_3792_cov_3974.340154_g2742_i2, NODE_7748_length_4605_cov_398.110140_g2865_i0, NODE_7685_length_4626_cov_306.735697_g2813_i1, NODE_1085_length_8985_cov_1291.794774_g62_i1, NODE_9981_length_4019_cov_3723.655388_g2742_i1, NODE_12525_length_3492_cov_254.626047_g0_i756, NODE_2281_length_7365_cov_494.348282_g980_i0, NODE_355_length_11803_cov_2535.131136_g162_i0, NODE_12577_length_3482_cov_3795.058210_g3822_i1, NODE_9014_length_4252_cov_132.954061_g3319_i0, NODE_12089_length_3570_cov_239.484609_g0_i738, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_1106_length_8958_cov_207.557621_g488_i1, NODE_1092_length_8977_cov_305.019893_g504_i0, NODE_12971_length_3413_cov_7828.411348_g2846_i2, NODE_3823_length_6240_cov_878.540976_g0_i408, NODE_10888_length_3813_cov_270.924154_g741_i4, NODE_2370_length_7303_cov_63.936899_g1008_i0, NODE_12523_length_3492_cov_7645.640774_g2846_i1, NODE_9454_length_4139_cov_320.438929_g2510_i2, NODE_12928_length_3421_cov_516.201946_g758_i3, NODE_2264_length_7387_cov_368.952025_g504_i2, NODE_9114_length_4227_cov_133.719867_g3319_i1, NODE_12837_length_3435_cov_4400.177334_g162_i1, NODE_5469_length_5409_cov_143.362454_g334_i2, NODE_6560_length_4995_cov_526.159484_g758_i1, NODE_6394_length_5057_cov_1074.700278_g962_i7, NODE_2762_length_6952_cov_106.174057_g334_i1, NODE_7606_length_4649_cov_557.220346_g2813_i0"
3,GO:0016020,membrane,Cellular Component,GO:0110165,cellular anatomical entity,61.99,43,"NODE_1553_length_8250_cov_710.451891_g695_i0, NODE_2628_length_7066_cov_1369.602672_g225_i3, NODE_747_length_9897_cov_75.859343_g334_i0, NODE_10309_length_3936_cov_4008.002560_g3344_i1, NODE_9401_length_4152_cov_597.538928_g2510_i1, NODE_10707_length_3851_cov_142.454997_g3319_i2, NODE_11190_length_3747_cov_148.004572_g3319_i4, NODE_12402_length_3515_cov_375.897017_g423_i6, NODE_8150_length_4482_cov_312.827757_g1666_i2, NODE_10997_length_3791_cov_649.803030_g3469_i1, NODE_11626_length_3656_cov_22.308519_g423_i5, NODE_11528_length_3675_cov_30.868075_g3339_i1, NODE_11257_length_3731_cov_850.442193_g2346_i2, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_10961_length_3797_cov_5.813960_g3959_i0, NODE_10342_length_3931_cov_39.563301_g2969_i1, NODE_6195_length_5127_cov_3348.235583_g2346_i0, NODE_1699_length_8043_cov_328.057025_g758_i0, NODE_12577_length_3482_cov_3795.058210_g3822_i1, NODE_9014_length_4252_cov_132.954061_g3319_i0, NODE_8116_length_4491_cov_1283.713133_g2274_i1, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_9120_length_4224_cov_4206.724672_g3344_i0, NODE_12971_length_3413_cov_7828.411348_g2846_i2, NODE_12051_length_3578_cov_94.374753_g1849_i2, NODE_3823_length_6240_cov_878.540976_g0_i408, NODE_4874_length_5667_cov_203.868216_g1849_i1, NODE_10888_length_3813_cov_270.924154_g741_i4, NODE_6594_length_4984_cov_3723.915237_g2346_i1, NODE_10512_length_3893_cov_3392.351708_g3822_i0, NODE_4743_length_5736_cov_200.055195_g1849_i0, NODE_2208_length_7451_cov_8442.962005_g225_i1, NODE_12523_length_3492_cov_7645.640774_g2846_i1, NODE_9454_length_4139_cov_320.438929_g2510_i2, NODE_7686_length_4625_cov_5537.661445_g2846_i0, NODE_12928_length_3421_cov_516.201946_g758_i3, NODE_938_length_9318_cov_446.993002_g430_i0, NODE_9114_length_4227_cov_133.719867_g3319_i1, NODE_5469_length_5409_cov_143.362454_g334_i2, NODE_6560_length_4995_cov_526.159484_g758_i1, NODE_495_length_10846_cov_3750.662568_g225_i0, NODE_2762_length_6952_cov_106.174057_g334_i1, NODE_10871_length_3816_cov_670.143385_g19_i9"
3,GO:0031224,intrinsic component of membrane,Cellular Component,"GO:0110165, GO:0016020","cellular anatomical entity, membrane",17.5,27,"NODE_1553_length_8250_cov_710.451891_g695_i0, NODE_2628_length_7066_cov_1369.602672_g225_i3, NODE_747_length_9897_cov_75.859343_g334_i0, NODE_10309_length_3936_cov_4008.002560_g3344_i1, NODE_11190_length_3747_cov_148.004572_g3319_i4, NODE_12402_length_3515_cov_375.897017_g423_i6, NODE_8150_length_4482_cov_312.827757_g1666_i2, NODE_10997_length_3791_cov_649.803030_g3469_i1, NODE_11626_length_3656_cov_22.308519_g423_i5, NODE_11257_length_3731_cov_850.442193_g2346_i2, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_10961_length_3797_cov_5.813960_g3959_i0, NODE_6195_length_5127_cov_3348.235583_g2346_i0, NODE_12577_length_3482_cov_3795.058210_g3822_i1, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_8116_length_4491_cov_1283.713133_g2274_i1, NODE_9120_length_4224_cov_4206.724672_g3344_i0, NODE_12971_length_3413_cov_7828.411348_g2846_i2, NODE_3823_length_6240_cov_878.540976_g0_i408, NODE_6594_length_4984_cov_3723.915237_g2346_i1, NODE_10512_length_3893_cov_3392.351708_g3822_i0, NODE_2208_length_7451_cov_8442.962005_g225_i1, NODE_12523_length_3492_cov_7645.640774_g2846_i1, NODE_7686_length_4625_cov_5537.661445_g2846_i0, NODE_5469_length_5409_cov_143.362454_g334_i2, NODE_495_length_10846_cov_3750.662568_g225_i0, NODE_2762_length_6952_cov_106.174057_g334_i1"
3,GO:0012505,endomembrane system,Cellular Component,GO:0110165,cellular anatomical entity,14.63,19,"NODE_12089_length_3570_cov_239.484609_g0_i738, NODE_747_length_9897_cov_75.859343_g334_i0, NODE_12971_length_3413_cov_7828.411348_g2846_i2, NODE_9401_length_4152_cov_597.538928_g2510_i1, NODE_3823_length_6240_cov_878.540976_g0_i408, NODE_10888_length_3813_cov_270.924154_g741_i4, NODE_2370_length_7303_cov_63.936899_g1008_i0, NODE_7605_length_4649_cov_620.909524_g1594_i2, NODE_8150_length_4482_cov_312.827757_g1666_i2, NODE_7376_length_4728_cov_2993.071292_g2742_i0, NODE_11528_length_3675_cov_30.868075_g3339_i1, NODE_12523_length_3492_cov_7645.640774_g2846_i1, NODE_7686_length_4625_cov_5537.661445_g2846_i0, NODE_9454_length_4139_cov_320.438929_g2510_i2, NODE_10989_length_3792_cov_3974.340154_g2742_i2, NODE_5469_length_5409_cov_143.362454_g334_i2, NODE_2762_length_6952_cov_106.174057_g334_i1, NODE_9981_length_4019_cov_3723.655388_g2742_i1, NODE_12525_length_3492_cov_254.626047_g0_i756"
3,GO:0071944,cell periphery,Cellular Component,GO:0110165,cellular anatomical entity,7.13,8,"NODE_11626_length_3656_cov_22.308519_g423_i5, NODE_11257_length_3731_cov_850.442193_g2346_i2, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_10342_length_3931_cov_39.563301_g2969_i1, NODE_6195_length_5127_cov_3348.235583_g2346_i0, NODE_6594_length_4984_cov_3723.915237_g2346_i1, NODE_12402_length_3515_cov_375.897017_g423_i6"
4,GO:0005794,Golgi apparatus,Cellular Component,"GO:0043231, GO:0005737, GO:0012505","intracellular membrane-bounded organelle, cytoplasm, endomembrane system",18.2,14,"NODE_747_length_9897_cov_75.859343_g334_i0, NODE_9401_length_4152_cov_597.538928_g2510_i1, NODE_12971_length_3413_cov_7828.411348_g2846_i2, NODE_2370_length_7303_cov_63.936899_g1008_i0, NODE_7605_length_4649_cov_620.909524_g1594_i2, NODE_7376_length_4728_cov_2993.071292_g2742_i0, NODE_11528_length_3675_cov_30.868075_g3339_i1, NODE_12523_length_3492_cov_7645.640774_g2846_i1, NODE_9454_length_4139_cov_320.438929_g2510_i2, NODE_7686_length_4625_cov_5537.661445_g2846_i0, NODE_10989_length_3792_cov_3974.340154_g2742_i2, NODE_5469_length_5409_cov_143.362454_g334_i2, NODE_2762_length_6952_cov_106.174057_g334_i1, NODE_9981_length_4019_cov_3723.655388_g2742_i1"
