Level,GO ID,GO Name,GO Type,Parents (ACC),Parents (Name),Nodescore,#Seqs,Sequence Names
3,GO:0022857,transmembrane transporter activity,Molecular Function,GO:0005215,transporter activity,15.95,11,"NODE_11528_length_3675_cov_30.868075_g3339_i1, NODE_12523_length_3492_cov_7645.640774_g2846_i1, NODE_7686_length_4625_cov_5537.661445_g2846_i0, NODE_2628_length_7066_cov_1369.602672_g225_i3, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_12971_length_3413_cov_7828.411348_g2846_i2, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_495_length_10846_cov_3750.662568_g225_i0, NODE_11856_length_3610_cov_479.512706_g4253_i0, NODE_12402_length_3515_cov_375.897017_g423_i6, NODE_2208_length_7451_cov_8442.962005_g225_i1"
3,GO:1901363,heterocyclic compound binding,Molecular Function,GO:0005488,binding,59.11,34,"NODE_5350_length_5454_cov_788.073733_g962_i5, NODE_1980_length_7688_cov_354.814206_g504_i1, NODE_11334_length_3717_cov_73.489425_g4085_i0, NODE_7154_length_4803_cov_116.811060_g962_i10, NODE_2771_length_6945_cov_775.797282_g962_i1, NODE_7849_length_4575_cov_1012.680598_g1027_i7, NODE_11626_length_3656_cov_22.308519_g423_i5, NODE_4329_length_5948_cov_781.173509_g1027_i3, NODE_11257_length_3731_cov_850.442193_g2346_i2, NODE_8152_length_4482_cov_275.796542_g2301_i3, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_4009_length_6128_cov_350.424988_g1594_i0, NODE_578_length_10513_cov_374.971290_g262_i0, NODE_738_length_9940_cov_438.301887_g262_i2, NODE_6195_length_5127_cov_3348.235583_g2346_i0, NODE_1085_length_8985_cov_1291.794774_g62_i1, NODE_4287_length_5978_cov_351.692049_g1594_i1, NODE_7504_length_4687_cov_280.703736_g2301_i2, NODE_12525_length_3492_cov_254.626047_g0_i756, NODE_12577_length_3482_cov_3795.058210_g3822_i1, NODE_12089_length_3570_cov_239.484609_g0_i738, NODE_8116_length_4491_cov_1283.713133_g2274_i1, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_1092_length_8977_cov_305.019893_g504_i0, NODE_7858_length_4573_cov_213.232394_g1594_i3, NODE_6585_length_4987_cov_880.665389_g962_i8, NODE_10512_length_3893_cov_3392.351708_g3822_i0, NODE_6594_length_4984_cov_3723.915237_g2346_i1, NODE_795_length_9702_cov_456.133981_g262_i4, NODE_7878_length_4566_cov_618.929910_g1594_i4, NODE_2264_length_7387_cov_368.952025_g504_i2, NODE_6901_length_4886_cov_427.297715_g504_i4, NODE_6394_length_5057_cov_1074.700278_g962_i7, NODE_10871_length_3816_cov_670.143385_g19_i9"
3,GO:0016787,hydrolase activity,Molecular Function,GO:0003824,catalytic activity,3.32,13,"NODE_12089_length_3570_cov_239.484609_g0_i738, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_7858_length_4573_cov_213.232394_g1594_i3, NODE_795_length_9702_cov_456.133981_g262_i4, NODE_10997_length_3791_cov_649.803030_g3469_i1, NODE_7878_length_4566_cov_618.929910_g1594_i4, NODE_11626_length_3656_cov_22.308519_g423_i5, NODE_9949_length_4028_cov_169.699675_g2939_i1, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_578_length_10513_cov_374.971290_g262_i0, NODE_738_length_9940_cov_438.301887_g262_i2, NODE_7932_length_4547_cov_158.888225_g2939_i0, NODE_12525_length_3492_cov_254.626047_g0_i756"
3,GO:0036094,small molecule binding,Molecular Function,GO:0005488,binding,8.66,13,"NODE_12577_length_3482_cov_3795.058210_g3822_i1, NODE_12089_length_3570_cov_239.484609_g0_i738, NODE_8116_length_4491_cov_1283.713133_g2274_i1, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_11334_length_3717_cov_73.489425_g4085_i0, NODE_7858_length_4573_cov_213.232394_g1594_i3, NODE_7849_length_4575_cov_1012.680598_g1027_i7, NODE_10512_length_3893_cov_3392.351708_g3822_i0, NODE_7878_length_4566_cov_618.929910_g1594_i4, NODE_11626_length_3656_cov_22.308519_g423_i5, NODE_4329_length_5948_cov_781.173509_g1027_i3, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_12525_length_3492_cov_254.626047_g0_i756"
3,GO:0140096,"catalytic activity, acting on a protein",Molecular Function,GO:0003824,catalytic activity,7.02,11,"NODE_10997_length_3791_cov_649.803030_g3469_i1, NODE_12577_length_3482_cov_3795.058210_g3822_i1, NODE_11626_length_3656_cov_22.308519_g423_i5, NODE_8116_length_4491_cov_1283.713133_g2274_i1, NODE_9770_length_4068_cov_123.081208_g2734_i2, NODE_9907_length_4039_cov_81.408728_g2328_i3, NODE_11720_length_3636_cov_207.422512_g4210_i0, NODE_10512_length_3893_cov_3392.351708_g3822_i0, NODE_7355_length_4737_cov_159.552464_g2734_i0, NODE_2281_length_7365_cov_494.348282_g980_i0, NODE_9336_length_4172_cov_118.444123_g2734_i1"
3,GO:0097367,carbohydrate derivative binding,Molecular Function,GO:0005488,binding,2.51,14,"NODE_12577_length_3482_cov_3795.058210_g3822_i1, NODE_12089_length_3570_cov_239.484609_g0_i738, NODE_8116_length_4491_cov_1283.713133_g2274_i1, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_7858_length_4573_cov_213.232394_g1594_i3, NODE_7849_length_4575_cov_1012.680598_g1027_i7, NODE_6594_length_4984_cov_3723.915237_g2346_i1, NODE_10512_length_3893_cov_3392.351708_g3822_i0, NODE_7878_length_4566_cov_618.929910_g1594_i4, NODE_11626_length_3656_cov_22.308519_g423_i5, NODE_11257_length_3731_cov_850.442193_g2346_i2, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_6195_length_5127_cov_3348.235583_g2346_i0, NODE_12525_length_3492_cov_254.626047_g0_i756"
3,GO:0097159,organic cyclic compound binding,Molecular Function,GO:0005488,binding,59.11,34,"NODE_5350_length_5454_cov_788.073733_g962_i5, NODE_1980_length_7688_cov_354.814206_g504_i1, NODE_11334_length_3717_cov_73.489425_g4085_i0, NODE_7154_length_4803_cov_116.811060_g962_i10, NODE_2771_length_6945_cov_775.797282_g962_i1, NODE_7849_length_4575_cov_1012.680598_g1027_i7, NODE_11626_length_3656_cov_22.308519_g423_i5, NODE_4329_length_5948_cov_781.173509_g1027_i3, NODE_11257_length_3731_cov_850.442193_g2346_i2, NODE_8152_length_4482_cov_275.796542_g2301_i3, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_4009_length_6128_cov_350.424988_g1594_i0, NODE_578_length_10513_cov_374.971290_g262_i0, NODE_738_length_9940_cov_438.301887_g262_i2, NODE_6195_length_5127_cov_3348.235583_g2346_i0, NODE_1085_length_8985_cov_1291.794774_g62_i1, NODE_4287_length_5978_cov_351.692049_g1594_i1, NODE_7504_length_4687_cov_280.703736_g2301_i2, NODE_12525_length_3492_cov_254.626047_g0_i756, NODE_12577_length_3482_cov_3795.058210_g3822_i1, NODE_12089_length_3570_cov_239.484609_g0_i738, NODE_8116_length_4491_cov_1283.713133_g2274_i1, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_1092_length_8977_cov_305.019893_g504_i0, NODE_7858_length_4573_cov_213.232394_g1594_i3, NODE_6585_length_4987_cov_880.665389_g962_i8, NODE_10512_length_3893_cov_3392.351708_g3822_i0, NODE_6594_length_4984_cov_3723.915237_g2346_i1, NODE_795_length_9702_cov_456.133981_g262_i4, NODE_7878_length_4566_cov_618.929910_g1594_i4, NODE_2264_length_7387_cov_368.952025_g504_i2, NODE_6901_length_4886_cov_427.297715_g504_i4, NODE_6394_length_5057_cov_1074.700278_g962_i7, NODE_10871_length_3816_cov_670.143385_g19_i9"
3,GO:0043167,ion binding,Molecular Function,GO:0005488,binding,27.32,21,"NODE_12577_length_3482_cov_3795.058210_g3822_i1, NODE_12089_length_3570_cov_239.484609_g0_i738, NODE_8116_length_4491_cov_1283.713133_g2274_i1, NODE_10453_length_3903_cov_682.443211_g3806_i0, NODE_11334_length_3717_cov_73.489425_g4085_i0, NODE_7858_length_4573_cov_213.232394_g1594_i3, NODE_7849_length_4575_cov_1012.680598_g1027_i7, NODE_10512_length_3893_cov_3392.351708_g3822_i0, NODE_760_length_9864_cov_439.313676_g262_i3, NODE_795_length_9702_cov_456.133981_g262_i4, NODE_11626_length_3656_cov_22.308519_g423_i5, NODE_7878_length_4566_cov_618.929910_g1594_i4, NODE_4329_length_5948_cov_781.173509_g1027_i3, NODE_4670_length_5775_cov_88.176123_g1638_i1, NODE_10820_length_3825_cov_701.765543_g3806_i1, NODE_578_length_10513_cov_374.971290_g262_i0, NODE_5209_length_5520_cov_161.198871_g537_i5, NODE_738_length_9940_cov_438.301887_g262_i2, NODE_4164_length_6047_cov_82.860751_g1638_i0, NODE_8447_length_4401_cov_64.734446_g1638_i2, NODE_12525_length_3492_cov_254.626047_g0_i756"
3,GO:0003700,DNA-binding transcription factor activity,Molecular Function,GO:0140110,transcription regulator activity,8,8,"NODE_5350_length_5454_cov_788.073733_g962_i5, NODE_1980_length_7688_cov_354.814206_g504_i1, NODE_2264_length_7387_cov_368.952025_g504_i2, NODE_7154_length_4803_cov_116.811060_g962_i10, NODE_1092_length_8977_cov_305.019893_g504_i0, NODE_2771_length_6945_cov_775.797282_g962_i1, NODE_6585_length_4987_cov_880.665389_g962_i8, NODE_6394_length_5057_cov_1074.700278_g962_i7"
3,GO:0016740,transferase activity,Molecular Function,GO:0003824,catalytic activity,21.74,16,"NODE_12577_length_3482_cov_3795.058210_g3822_i1, NODE_7292_length_4762_cov_272.768012_g2301_i1, NODE_8116_length_4491_cov_1283.713133_g2274_i1, NODE_11334_length_3717_cov_73.489425_g4085_i0, NODE_11720_length_3636_cov_207.422512_g4210_i0, NODE_7849_length_4575_cov_1012.680598_g1027_i7, NODE_10888_length_3813_cov_270.924154_g741_i4, NODE_6050_length_5175_cov_249.633307_g2301_i0, NODE_10512_length_3893_cov_3392.351708_g3822_i0, NODE_8150_length_4482_cov_312.827757_g1666_i2, NODE_11626_length_3656_cov_22.308519_g423_i5, NODE_4329_length_5948_cov_781.173509_g1027_i3, NODE_9907_length_4039_cov_81.408728_g2328_i3, NODE_938_length_9318_cov_446.993002_g430_i0, NODE_10871_length_3816_cov_670.143385_g19_i9, NODE_2281_length_7365_cov_494.348282_g980_i0"
